State,Species,Elev,Tree,Core,nyear,Pith
CO,POTR,L,1H,A,89,
CO,POTR,L,1H,B,89,
CO,POTR,L,1L,A,86,
CO,POTR,L,1L,B,86,
CO,POTR,L,2H,A,96,
CO,POTR,L,2H,B,96,
CO,POTR,L,2L,A,105,
CO,POTR,L,2L,B,105,
CO,POTR,L,3H,A,108,
CO,POTR,L,3H,B,108,
CO,POTR,L,3L,A,113,
CO,POTR,L,3L,B,113,
CO,POTR,L,4H,A,110,
CO,POTR,L,4H,B,110,
CO,POTR,L,4L,A,110,
CO,POTR,L,4L,C,NA,
CO,POTR,L,5H,A,110,
CO,POTR,L,5H,B,110,
CO,POTR,L,5L,A,105,
CO,POTR,L,5L,B,105,
CO,POTR,L,6H,A,113,
CO,POTR,L,6H,B,113,
CO,POTR,L,6L,A,115,
CO,POTR,L,6L,B,115,
CO,POTR,L,7H,A,115,
CO,POTR,L,7H,B,115,
CO,POTR,L,7L,A,100,
CO,POTR,L,7L,B,100,
CO,POTR,L,8H,A,110,
CO,POTR,L,8H,B,110,
CO,POTR,L,8L,A,NA,
CO,POTR,L,8L,B,NA,
CO,POTR,L,9H,A,116,
CO,POTR,L,9H,B,116,
CO,POTR,L,9L,A,115,
CO,POTR,L,9L,B,115,
CO,POTR,L,10H,A,125,
CO,POTR,L,10H,B,123,
CO,POTR,L,10L,A,117,
CO,POTR,L,10L,B,117,
CO,POTR,L,11H,A,95,
CO,POTR,L,11H,B,95,
CO,POTR,L,11L,A,103,
CO,POTR,L,11L,B,103,
CO,POTR,L,12H,A,103,
CO,POTR,L,12H,B,103,
CO,POTR,L,12L,A,95,
CO,POTR,L,12L,B,95,
CO,POTR,L,13H,A,85,
CO,POTR,L,13H,B,85,
CO,POTR,L,13L,A,100,
CO,POTR,L,13L,B,100,
CO,POTR,L,14H,A,96,
CO,POTR,L,14H,B,96,
CO,POTR,L,14L,A,85,
CO,POTR,L,14L,B,85,
CO,POTR,M,1H,A,127,
CO,POTR,M,1H,B,127,
CO,POTR,M,1L,A,116,
CO,POTR,M,1L,B,116,
CO,POTR,M,2H,A,60,
CO,POTR,M,2H,B,59,
CO,POTR,M,2L,A,74,
CO,POTR,M,2L,B,74,
CO,POTR,M,3H,A,NA,
CO,POTR,M,3H,B,145,
CO,POTR,M,3L,A,115,
CO,POTR,M,3L,B,NA,
CO,POTR,M,4H,A,60,
CO,POTR,M,4H,B,60,
CO,POTR,M,4L,A,58,
CO,POTR,M,4L,B,58,
CO,POTR,M,5H,A,55,
CO,POTR,M,5H,B,55,
CO,POTR,M,5L,A,52,
CO,POTR,M,5L,B,52,
CO,POTR,M,6H,A,55,
CO,POTR,M,6H,B,55,
CO,POTR,M,6L,A,50,
CO,POTR,M,6L,B,50,
CO,POTR,M,7H,A,58,
CO,POTR,M,7H,B,58,
CO,POTR,M,7L,A,58,
CO,POTR,M,7L,B,58,
CO,POTR,M,8H,A,NA,
CO,POTR,M,8H,B,125,
CO,POTR,M,8L,A,NA,
CO,PORT,M,8L,B,140,
CO,POTR,M,9H,A,107,
CO,POTR,M,9H,B,NA,
CO,POTR ,M,9L,A,63,
CO,POTR,M,9L,B,NA,
CO,POTR,M,10H,A,115,
CO,POTR,M,10H,B,102,
CO,POTR,M,10L,A,60,
CO,POTR,M,10L,B,52,
CO,POTR,M,11H,A,116,
CO,POTR,M,11H,B,115,
CO,POTR,M,11L,A,82,
CO,POTR,M,11L,B,81,
CO,POTR,M,12H,A,NA,
CO,POTR,M,12H,B,NA,
CO,POTR,M,12L,A,112,
CO,POTR,M,12L,B,111,
CO,POTR,M,13L,A,108,
CO,POTR,M,13L,B,108,
CO,POTR,M,13H,A,111,
CO,POTR,M,13H,B,110,
CO,POTR,M,14H,A,95,
CO,POTR,M,14H,B,95,
CO,POTR,M,14L,A,70,
CO,POTR,M,14L,B,70,
CO,POTR,M,15H,A,122,
CO,POTR,M,15H,B,120,
CO,POTR,M,15L,A,120,
CO,POTR,M,15L,B,115,
CO,POTR,H,1H,A,110,
CO,POTR,H,1H,B,110,
CO,POTR,H,1L,A,115,
CO,POTR,H,1L,B,NA,
CO,POTR,H,2H,A,160,
CO,POTR,H,2H,B,160,n
CO,POTR,H,2H,C,160,n
CO,POTR,H,2L,A,140,n
CO,POTR,H,2L,B,140,n
CO,POTR,H,3H,A,117,
CO,POTR,H,3H,B,117,
CO,POTR,H,3L,A,169,
CO,POTR,H,3L,B,167,
CO,POTR,H,4H,A,155,
CO,POTR,H,4H,B,158,
CO,POTR,H,4L,A,164,
CO,POTR,H,4L,B,147,
CO,POTR,H,5H,A,106,
CO,POTR,H,5H,B,96,
CO,POTR,H,5L,A,115,
CO,POTR,H,5L,B,107,
CO,POTR,H,6H,A,118,
CO,POTR,H,6H,B,NA,
CO,POTR,H,6L,A,130,n
CO,POTR,H,6L,B,NA,
CO,POTR,H,7H,A,83,
CO,POTR,H,7H,B,NA,
CO,POTR,H,7L,A,108,
CO,POTR,H,7L,B,NA,
CO,POTR,H,8H,A,81,
CO,POTR,H,8H,B,80,
CO,POTR,H,8L,A,54,
CO,POTR,H,8L,B,54,
CO,POTR,H,9H,A,82,
CO,POTR,H,9H,B,82,
CO,POTR,H,9L,A,40,
CO,POTR,H,9L,B,40,
CO,POTR,H,10H,A,120,
CO,POTR,H,10H,B,120,
CO,POTR,H,10L,A,164,
CO,POTR,H,10L,B,167,
CO,POTR,H,11H,A,117,
CO,POTR,H,11H,B,117,
CO,POTR,H,11L,A,NA,
CO,POTR,H,11L,B,116,
CO,POTR,H,12H,A,115,
CO,POTR,H,12H,B,NA,
CO,POTR,H,12L,A,100,
CO,POTR,H,12L,B,NA,
CO,POTR,H,13L,A,NA,
CO,POTR,H,13L,B,51,
CO,POTR,H,13H,A,121,
CO,POTR,H,13H,B,121,
CO,POTR,H,14H,A,111,
CO,POTR,H,14H,B,110,
CO,POTR,H,14L,A,116,
CO,POTR,H,14L,B,112,
CO,POTR,H,15H,A,45,
CO,POTR,H,15H,B,45,
CO,POTR,H,15L,A,54,
CO,POTR,H,15L,B,54,
