Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,8L,A,8L-A,CO-PIPO-L-8L-A,,,2013,0,0,0,0,0,74,RINGWIDTH,1,CO-PIPO-L-8L-both.tif,10/14/2013 12:53,                   ,,2756 10338 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],282.0000 8592.0000 426.0000 426.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,172.8308,,0.48,0.928,1.623,1.349,1.41,1.658,1.49,1.162,1.49,0.85,0.726,1.229,1.002,1.674,1.679,1.789,0.989,1.717,1.206,1.427,1.867,1.66,2.542,1.673,1.721,2.841,2.384,1.431,1.116,3.056,2.427,1.834,2.167,2.28,1.631,0.878,3.514,2.85,2.088,3.101,2.385,2.913,2.176,2.991,3.319,3.262,3.655,3.665,2.429,1.88,1.62,1.12,1.36,1.066,1.779,2.693,1.773,2.018,2.326,2.393,2.56,1.269,1.846,3.319,2.284,2.46,1.995,2.616,3.126,3.707,2.473,3.558,3.112,3.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,8L,B,8L-B,CO-PIPO-L-8L-B,,,2013,0,0,0,0,0,70,RINGWIDTH,1,CO-PIPO-L-8L-both.tif,10/14/2013 12:53,                   ,,2756 10338 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1704.0000 10122.0000 2016.0000 117.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,211.8222,,0.58,0.677,2.009,1.586,1.607,1.521,1.205,0.825,1.143,0.487,0.402,0.888,0.868,1.904,1.925,2.673,1.511,2.677,1.886,1.952,2.573,2.081,3.136,2.964,3.084,3.618,4.083,1.946,2.031,4.911,3.807,2.187,2.94,3.578,2.36,1.243,3.978,3.883,2.561,4.869,3.079,4.246,3.127,3.945,4.078,3.871,4.577,4.311,2.253,2.517,2.323,1.969,2.715,2.522,3.117,4.109,2.415,2.775,2.857,3.048,4.4,2.286,3.072,4.572,2.623,4.355,3.192,4.271,5.171,1.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,9H,A,9H-A,CO-PIPO-L-9H-A,,,2013,0,0,0,0,0,103,RINGWIDTH,1,CO-PIPO-L-9H-both.tif,10/14/2013 12:53,                   ,,2284 8506 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],213.0000 7875.0000 324.0000 786.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,150.0315,,0.344,0.464,0.818,0.915,0.862,0.72,0.743,0.471,0.722,0.487,0.541,0.671,0.652,1.053,1.133,1.244,0.806,1.646,1.19,1.279,1.43,0.997,1.306,1.142,1.33,1.354,1.416,0.759,0.724,1.354,0.979,0.793,0.983,1.265,0.708,0.356,1.049,1.305,0.949,1.572,1.176,1.206,0.865,1.371,1.729,1.603,1.331,1.396,1.016,0.867,0.93,0.844,0.696,0.337,1.184,1.755,0.994,1.141,0.803,1.502,1.777,0.908,1.246,1.925,1.481,1.84,1.565,1.733,1.605,1.834,1.621,2.082,1.774,1.69,1.52,1.472,1.03,1.051,0.687,1.311,1.465,0.93,1.486,1.545,1.598,1.692,1.693,1.46,1.501,1.724,1.483,2.631,2.235,2.285,2.411,2.222,3.441,2.897,3.89,2.918,3.029,2.836,2.664,,,,,,,,,,,,,
CO,PIPO,L,9H,B,9H-B,CO-PIPO-L-9H-B,,,2013,0,0,0,0,0,102,RINGWIDTH,1,CO-PIPO-L-9H-both.tif,10/14/2013 12:53,                   ,,2284 8506 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1815.0000 6774.0000 1761.0000 339.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,136.1784,,0.247,0.36,0.614,0.548,0.676,0.444,0.697,0.401,0.506,0.508,0.55,0.529,0.613,0.988,0.841,0.925,0.585,1.504,0.94,0.752,1.044,0.898,1.051,0.886,0.973,1.058,0.952,0.656,0.55,1.227,0.931,0.906,0.734,0.901,0.691,0.314,0.818,0.991,0.611,1.33,0.845,1.077,0.76,1.33,1.363,1.263,1.393,1.413,1.201,0.802,0.698,0.736,0.978,0.35,0.979,1.717,0.898,1.135,1.069,1.044,1.566,0.793,1.148,1.441,1.413,1.547,1.236,1.463,1.373,1.664,1.724,1.907,1.605,1.621,1.747,1.588,0.9,1.006,1.107,1.727,1.512,1.136,1.753,1.569,1.426,1.789,2.059,1.708,1.793,1.768,1.456,2.423,2.132,2.192,2.089,2.093,2.887,2.332,3.09,2.673,3.252,1.667,,,,,,,,,,,,,,
CO,PIPO,L,9L,A,9L-A,CO-PIPO-L-9L-A,,,2013,0,0,0,0,0,81,RINGWIDTH,1,CO-PIPO-L-9L_both.tif,10/14/2013 12:54,                   ,,2185 10594 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],234.0000 6933.0000 390.0000 222.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.0524,,0.396,0.482,0.805,0.882,0.993,0.909,0.93,0.613,0.882,0.544,0.583,0.909,0.764,1.923,1.542,1.488,0.69,1.578,1.267,1.221,1.785,1.516,1.632,1.402,2.28,2.105,2.181,1.45,1.468,2.067,1.654,1.425,1.115,1.532,1.018,0.649,1.516,1.935,1.449,1.888,2.236,2.586,1.863,2.221,2.114,2.023,2.132,2.072,1.492,1.344,1.197,1.344,1.596,1.319,1.791,2.649,1.806,1.686,2.073,1.89,2.353,1.632,2.088,2.897,1.823,2.111,1.552,1.914,2.082,2.399,2.014,2.518,1.889,1.713,1.738,1.725,1.268,1.637,1.414,1.928,2.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,9L,B,9L-B,CO-PIPO-L-9L-B,,,2013,0,0,0,0,0,79,RINGWIDTH,1,CO-PIPO-L-9L_both.tif,10/14/2013 12:54,                   ,,2185 10594 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1728.0000 10353.0000 1719.0000 2550.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,165.1226,,0.444,0.592,0.889,0.571,0.677,0.57,0.506,0.316,0.57,0.327,0.471,0.59,0.653,1.349,1.182,1.481,0.741,1.735,1.079,1.058,1.46,1.185,1.667,1.429,1.975,2.185,2.177,1.352,1.375,2.687,1.836,1.414,1.561,1.545,1.227,0.719,1.968,2.01,1.671,2.401,2.264,2.89,2.095,2.983,2.963,2.717,2.723,2.601,1.878,1.458,1.247,1.29,2.137,1.566,1.974,2.607,1.627,1.727,2.264,2.814,3.33,2.368,2.75,4.42,2.6,3.432,2.721,3.863,4.168,6.071,4.76,3.926,2.854,2.539,3.068,2.666,1.878,2.026,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,10H,A,10H-A,CO-PIPO-L-10H-A,,,2013,0,0,0,0,0,86,RINGWIDTH,1,CO-PIPO-L-10H_both.tif,10/14/2013 12:54,                   ,,2185 9727 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],294.0000 8379.0000 246.0000 1530.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,144.938,,0.226,0.274,0.909,0.717,0.802,0.759,0.78,0.759,1.057,0.783,0.698,0.804,0.782,1.288,1.204,1.309,0.888,2.179,1.542,1.331,1.458,1.373,2.197,1.458,1.806,2.168,1.603,1.352,1.015,1.692,1.248,1.016,0.995,1.206,1.016,0.317,1.333,1.333,1.079,1.605,1.166,1.479,1.221,1.305,1.557,1.158,1.014,1.436,0.863,0.881,0.968,0.991,1.396,0.55,1.079,2.074,1.037,0.825,1.1,1.459,1.163,0.761,1.29,1.84,1.587,1.926,1.438,2.223,2.116,2.639,2.523,2.425,2.366,2.267,2.549,2.333,2.142,2.321,1.97,2.837,3.773,3.384,3.694,4.323,3.796,5.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,10H,B,10H-B,CO-PIPO-L-10H-B,,,2013,0,0,0,0,0,86,RINGWIDTH,1,CO-PIPO-L-10H_both.tif,10/14/2013 12:54,                   ,,2185 9727 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1686.0000 8454.0000 1755.0000 411.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,170.2074,,0.291,0.359,0.674,0.797,0.927,0.647,0.715,0.399,0.901,0.562,0.622,0.683,0.624,1.479,1.615,1.477,1.022,2.131,1.743,1.686,1.835,1.921,2.529,1.803,1.748,1.829,1.977,1.467,1.232,2.59,1.848,1.518,1.244,1.54,1.222,0.505,1.577,1.512,1.467,1.883,1.16,1.971,1.426,1.803,1.755,1.671,1.734,1.65,1.187,1.069,1.402,1.393,1.813,1.054,1.721,3.121,1.498,1.462,1.188,1.456,1.82,1.085,1.531,2.606,1.968,2.963,2.28,2.635,2.622,3.603,2.267,3.584,2.581,2.716,3.384,3.207,2.496,2.717,1.595,2.553,3.911,2.785,3.805,4.72,3.77,3.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,10L,A,10L-A,CO-PIPO-L-10L-A,,,2013,0,0,0,0,0,96,RINGWIDTH,1,CO-PIPO-L-10L-both.tif,10/14/2013 12:55,                   ,,2185 11204 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],288.0000 7917.0000 360.0000 294.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,161.3206,,0.147,0.237,0.776,0.778,0.783,0.635,0.698,0.464,0.55,0.487,0.38,0.528,0.402,0.994,0.952,0.755,0.594,1.563,0.824,0.825,0.994,0.741,1.248,0.741,1.058,1.396,1.143,0.677,0.973,2.307,1.651,1.185,1.333,1.312,0.89,0.099,1.294,1.542,1.565,1.88,1.5,1.988,1.858,2.263,2.013,2.16,1.929,1.489,0.862,0.928,0.969,1.262,1.428,0.566,1.476,2.532,1.14,1.227,1.138,1.813,2.175,0.888,1.248,2.241,2.049,2.474,1.817,2.14,1.835,2.319,1.833,3.058,2.049,2.141,3.182,2.257,2.157,2.791,1.501,2.862,3.597,2.58,4.663,4.399,2.978,3.151,3.399,2.751,2.348,3.343,2.007,2.941,2.433,2.305,1.721,2.083,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,10L,B,10L-B,CO-PIPO-L-10L-B,,,2013,0,0,0,0,0,93,RINGWIDTH,1,CO-PIPO-L-10L-both.tif,10/14/2013 12:55,                   ,,2185 11204 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1719.0000 10095.0000 1716.0000 123.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,211.0216,,0.296,0.386,1.364,1.184,1.164,0.889,0.91,0.654,1.055,0.55,0.55,0.952,0.846,1.587,1.672,1.288,0.9,1.669,1.222,1.722,1.155,1.264,2.206,1.617,1.659,2.471,2.29,1.147,1.773,3.97,2.153,1.459,1.778,1.819,0.952,0.444,1.86,2.11,1.356,2.941,1.669,2.215,2.115,3.024,3.193,2.836,2.581,2.391,1.417,1.227,1.312,1.608,2.56,1.268,2.772,3.778,1.968,1.989,1.587,2.708,3.744,1.693,2.158,2.941,2.475,3.238,2.705,2.518,2.539,3.428,2.513,3.083,2.875,2.367,2.759,2.866,2.472,2.92,2.016,2.821,3.227,3.018,5.187,5.052,4.116,3.861,4.042,3.101,3.292,3.315,2.393,4.094,0.896,,,,,,,,,,,,,,,,,,,,,,,
