Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,A-T1,A,A-T1-A,PIPO-H-A-T1-A,,,2014,0,0,0,0,0,84,RINGWIDTH,1,NotAFile,3/18/15 18:38,                   ,,5198 20951 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],411.0000 16290.0000 540.0000 750.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,122.4751,0.377,0.143,0.507,0.527,0.377,0.944,0.787,0.685,0.527,0.454,0.389,0.456,0.642,0.621,0.468,0.5,0.688,0.579,0.61,0.549,0.506,0.68,0.575,0.695,0.803,0.839,0.548,0.556,0.617,0.421,0.456,0.586,0.527,0.712,0.252,0.692,0.942,0.794,0.804,0.733,0.779,0.766,0.735,0.628,0.769,0.828,0.726,0.658,0.468,0.734,0.64,0.773,0.434,0.719,0.647,1.043,1.128,1.643,1.472,1.896,1.647,1.509,2.372,1.376,2.076,1.825,2.43,1.929,2.886,2.219,2.674,2.876,2.387,3.488,2.876,2.701,2.979,2.931,3.709,3.227,2.247,2.729,3.784,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,A-T1,B,A-T1-B,PIPO-H-A-T1-B,,,2014,0,0,0,0,0,98,RINGWIDTH,1,NotAFile,3/18/15 18:38,                   ,,5198 20951 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],4182.0000 18964.0000 4496.0000 166.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,148.7246,0.419,0.248,0.698,0.787,0.698,0.698,0.613,0.833,0.658,0.693,0.59,0.491,0.4,0.561,0.75,0.649,0.597,0.637,0.815,0.683,0.629,0.648,0.39,0.406,0.37,0.394,0.503,0.721,0.5,0.407,0.42,0.313,0.047,0.217,0.344,0.408,0.133,0.529,0.755,0.68,0.657,0.669,0.68,0.911,1.275,1.095,1.039,1.406,1.116,0.708,0.6,0.894,0.734,0.943,0.683,0.961,0.844,1.285,1.292,2.048,1.703,1.731,1.678,1.761,2.313,1.843,2.872,2.038,2.589,2.18,2.778,2.386,3.173,3.23,2.412,3.103,3.226,3.579,2.85,3.509,2.991,2.841,2.615,3.037,2.719,3.24,3.419,3.949,3.32,2.54,2.658,1.952,2.667,2.425,2.971,2.92,2.061,0.367,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,A-T7,A,A-T7-A,PIPO-H-A-T7-A,,,2014,0,0,0,0,0,80,RINGWIDTH,1,NotAFile,3/18/15 23:18,                   ,,5198 30508 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],672.0000 28824.0000 524.0000 1896.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,213.6911,0.779,0.87,1.168,1.645,1.667,1.687,2.148,3.749,2.484,2.036,1.958,1.595,0.333,2.118,2.528,2.786,2.013,2.432,2.048,2.493,2.443,2.103,2.699,2.621,2.468,2.571,2.69,3.003,3.221,2.317,2.842,3.792,2.98,2.366,1.533,1.467,1.599,1.269,1.954,2.301,2.476,2.326,2.99,3.213,2.739,2.792,2.317,2.9,2.456,2.618,1.902,1.882,2.49,2.919,2.91,2.744,3.073,2.792,3.438,3.546,3.262,2.9,2.663,2.213,1.92,3.188,3.3,3.391,2.825,3.149,2.828,3.832,3.359,4.557,4.136,4.29,4.7,5.085,3.998,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,A-T7,B,A-T7-B,PIPO-H-A-T7-B,,,2014,0,0,0,0,0,90,RINGWIDTH,1,NotAFile,3/18/15 23:18,                   ,,5198 30508 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],4586.0000 30126.0000 4264.0000 178.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,237.6669,0.935,0.67,1.53,1.731,1.877,1.749,1.112,2.744,1.762,1.72,1.547,1.23,0.306,2.35,1.952,2.504,1.621,1.962,1.715,1.636,1.884,1.932,1.998,2.192,1.856,1.968,2.267,2.635,2.444,1.737,1.98,3.38,2.534,2.288,1.628,1.755,1.815,1.456,2.387,2.478,2.652,2.041,3.316,2.491,3.269,2.612,2.841,2.984,2.729,3.069,2.532,2.151,2.216,2.256,2.571,2.505,3.634,2.935,2.914,3.379,2.92,3.257,2.635,2.487,2.17,2.983,2.68,3.953,2.835,3.022,2.283,4.079,3.304,4.65,4.17,4.612,4.799,5.28,3.955,3.755,4.362,3.811,3.795,3.367,3.307,3.728,3.66,4.778,3.674,1.603,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,C-T12,A,C-T12-A,PIPO-H-C-T12-A,,,2014,0,0,0,0,0,96,RINGWIDTH,1,PIPO-H-C-T12_both.tif,3/30/15 16:20,                   ,,3662 18864 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],388.0000 16078.0000 375.0000 336.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,166.5615,0.751,0.508,0.56,0.846,0.695,0.809,0.707,1.184,0.579,0.653,1.006,1.09,0.671,1.136,1.502,1.914,1.564,1.873,1.555,1.904,1.262,1.126,1.51,1.667,1.913,1.354,1.551,1.766,2.359,1.513,1.967,2.52,2.163,2.424,1.373,1.829,1.473,1.147,1.753,1.877,1.837,1.723,1.861,1.579,2.008,2.761,1.608,2.776,2.304,2.606,2.705,1.395,2.416,2.316,2.079,2.371,1.831,2.059,1.874,1.602,2.478,2.705,1.892,1.908,1.933,1.736,1.811,2.616,1.844,1.715,1.596,1.305,1.561,1.957,1.903,1.561,1.312,2.219,1.552,1.221,0.832,1.305,2.096,1.845,1.265,1.41,1.69,2.357,2.796,1.895,2.281,2.199,1.755,2.077,2.361,0.321,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,C-T12,B,C-T12-B,PIPO-H-C-T12-B,,,2014,0,0,0,0,0,94,RINGWIDTH,1,PIPO-H-C-T12_both.tif,3/30/15 16:20,                   ,,3662 18864 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3187.0000 16906.0000 3274.0000 1635.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,160.2738,0.741,0.45,0.447,0.986,0.466,0.719,0.635,1.185,0.549,0.539,0.982,0.706,0.327,0.803,0.876,1.505,1.397,1.778,1.238,1.904,1.323,1.111,1.786,1.772,1.684,1.388,1.542,1.513,2.295,1.488,1.828,2.528,1.851,1.999,1.111,1.523,1.711,1.47,1.904,2.613,1.966,2.084,1.958,2.306,2.327,3.004,1.815,2.549,2.867,3.499,2.506,1.64,2.116,1.375,2.338,1.809,2.046,2.041,1.639,1.859,2.53,1.705,2.277,1.764,1.469,2.524,2.05,2.27,1.65,1.243,1.133,1.488,1.361,2.081,1.947,1.616,1.766,2.486,1.616,1.256,0.845,1.396,2.227,2.317,1.693,1.476,1.533,2.296,3.167,2.634,2.305,1.983,1.748,0.426,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,B-T4,A,B-T4-A,PIPO-H-B-T4-A,,,2014,0,0,0,0,0,89,RINGWIDTH,1,PIPO-H-B-T4_both.tif,3/30/15 16:29,                   ,,3662 22172 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],334.0000 16218.0000 424.0000 436.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,166.9874,0.644,0.646,0.73,0.875,0.927,0.608,0.85,1.371,0.92,0.677,0.995,0.794,0.296,0.423,1.299,2.146,1.797,1.558,1.618,2.148,1.31,1.478,2.04,1.972,2.196,1.854,1.801,2.243,2.116,1.449,1.809,2.031,2.232,2.041,1.278,1.742,1.999,1.629,2.158,2.55,1.956,1.721,2.526,2.232,2.442,3.248,2.383,3.043,3.068,2.991,2.676,2.326,2.562,1.978,2.169,2.148,1.826,2.126,1.534,1.713,2.17,1.96,2.061,1.985,1.678,2.243,1.796,1.999,2.013,1.682,2.19,1.671,2.209,2.564,2.187,1.904,1.954,2.568,2.655,2,1.46,1.491,2.296,2.486,2.867,2.501,2.438,2.447,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,B-T4,B,B-T4-B,PIPO-H-B-T4-B,,,2014,0,0,0,0,0,85,RINGWIDTH,1,PIPO-H-B-T4_both.tif,3/30/15 16:29,                   ,,3662 22172 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3109.0000 21793.0000 2941.0000 1848.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,211.0396,1.224,1.607,2.075,2.255,2.334,2.545,1.794,2.54,2.071,1.308,1.508,2.046,1.066,1.615,2.939,3.997,3.616,2.841,2.767,3.079,2.477,2.478,2.743,2.9,2.355,2.602,2.687,2.691,3.039,2.452,2.726,2.644,2.439,2.064,1.925,1.69,2.43,2.141,2.41,2.983,2.857,2.112,2.899,2.377,2.772,3.638,3.043,2.099,2.44,3.002,2.654,1.919,2.391,1.675,2.3,2.352,2.311,2.834,1.915,2.253,2.518,2.222,2.503,2.027,2.446,2.534,2.418,2.337,2.154,2.096,2.487,2.797,2.713,3.11,3.056,2.895,2.87,3.216,3.406,2.424,2.193,2.356,2.85,2.888,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,B-T4,A,B-T4-A,PIPO-H-B-T4-A,,,2014,0,0,0,0,0,89,RINGWIDTH,1,PIPO-H-B-T4_both.tif,3/30/15 16:30,                   ,,3662 22172 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],334.0000 16218.0000 424.0000 436.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,166.9874,0.644,0.646,0.73,0.875,0.927,0.608,0.85,1.371,0.92,0.677,0.995,0.794,0.296,0.423,1.299,2.146,1.797,1.558,1.618,2.148,1.31,1.478,2.04,1.972,2.196,1.854,1.801,2.243,2.116,1.449,1.809,2.031,2.232,2.041,1.278,1.742,1.999,1.629,2.158,2.55,1.956,1.721,2.526,2.232,2.442,3.248,2.383,3.043,3.068,2.991,2.676,2.326,2.562,1.978,2.169,2.148,1.826,2.126,1.534,1.713,2.17,1.96,2.061,1.985,1.678,2.243,1.796,1.999,2.013,1.682,2.19,1.671,2.209,2.564,2.187,1.904,1.954,2.568,2.655,2,1.46,1.491,2.296,2.486,2.867,2.501,2.438,2.447,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,H,B-T4,B,B-T4-B,PIPO-H-B-T4-B,,,2014,0,0,0,0,0,85,RINGWIDTH,1,PIPO-H-B-T4_both.tif,3/30/15 16:30,                   ,,3662 22172 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3109.0000 21793.0000 2941.0000 1848.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,211.0396,1.224,1.607,2.075,2.255,2.334,2.545,1.794,2.54,2.071,1.308,1.508,2.046,1.066,1.615,2.939,3.997,3.616,2.841,2.767,3.079,2.477,2.478,2.743,2.9,2.355,2.602,2.687,2.691,3.039,2.452,2.726,2.644,2.439,2.064,1.925,1.69,2.43,2.141,2.41,2.983,2.857,2.112,2.899,2.377,2.772,3.638,3.043,2.099,2.44,3.002,2.654,1.919,2.391,1.675,2.3,2.352,2.311,2.834,1.915,2.253,2.518,2.222,2.503,2.027,2.446,2.534,2.418,2.337,2.154,2.096,2.487,2.797,2.713,3.11,3.056,2.895,2.87,3.216,3.406,2.424,2.193,2.356,2.85,2.888,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
