Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,M,A-T3,A,A-T3-A,PIPO-M-A-T3-A,,,2014,0,0,0,0,0,93,RINGWIDTH,1,NotAFile,3/17/15 13:38,                   ,,2146 9195 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],282.0000 7356.0000 234.0000 1899.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,115.4822,0.209,0.208,0.335,0.126,0.231,0.738,0.295,0.673,0.378,0.419,0.147,0.542,0.331,0.348,0.799,0.335,0.292,0.48,0.355,0.376,0.605,0.46,0.126,0.441,0.46,0.419,0.587,0.377,0.188,0.396,0.315,0.148,0.4,0.232,0.78,0.675,0.718,0.527,0.74,0.296,0.211,0.296,0.528,0.463,0.904,0.501,0.752,0.188,0.65,0.19,0.481,0.82,0.421,1.577,0.527,0.76,0.783,0.592,0.846,0.381,0.885,0.836,1.339,0.9,0.645,0.58,0.522,1.514,1.459,1.154,0.186,0.853,1.434,2.531,1.9,2.513,2.704,2.439,3.185,3.598,0.532,2.738,2.755,3.933,2.995,4.268,3.89,4.844,4.374,4.728,7.046,5.501,1.811,,,,,,,,,,,,,,,,
CO,PIPO,M,A-T3,A,A-T3-A,PIPO-M-A-T3-A,,,2014,0,0,0,0,0,101,RINGWIDTH,1,NotAFile,3/17/15 14:07,                   ,,5303 21949 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],768.0000 19500.0000 630.0000 5253.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,113.0627,0.222,0.057,0.149,0.247,0.075,0.035,0.06,0.058,0.251,0.236,0.129,0.091,0.034,0.217,0.292,0.678,0.394,0.401,0.156,0.553,0.327,0.331,0.358,0.23,0.098,0.139,0.318,0.311,0.479,0.345,0.375,0.612,0.486,0.55,0.456,0.396,0.34,0.047,0.244,0.366,0.181,0.409,0.334,0.525,0.214,0.784,0.673,0.729,0.542,0.718,0.325,0.23,0.27,0.178,0.284,0.063,0.454,0.883,0.526,0.82,0.768,0.665,0.832,0.356,0.557,1.038,0.595,0.742,0.551,0.819,0.848,1.252,0.822,1.334,0.938,0.637,1.135,1.499,1.449,1.178,1.029,1.454,2.503,1.917,2.477,2.7,2.471,3.251,3.688,3.343,2.739,3.99,2.936,4.51,3.845,4.105,3.678,3.452,5.416,3.631,0.597,,,,,,,,
CO,PIPO,M,A-T3,B,A-T3-B,PIPO-M-A-T3-B,,,2014,0,0,0,0,0,105,RINGWIDTH,1,NotAFile,3/17/15 14:07,                   ,,5303 21949 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],4587.0000 16014.0000 4518.0000 774.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,119.8835,0.206,0.071,0.111,0.25,0.077,0.122,0.188,0.241,0.107,0.198,0.159,0.173,0.021,0.131,0.29,0.545,0.333,0.365,0.181,0.424,0.404,0.378,0.365,0.249,0.131,0.21,0.29,0.321,0.426,0.229,0.266,0.449,0.294,0.219,0.2,0.301,0.205,0.017,0.155,0.25,0.151,0.301,0.223,0.296,0.162,0.558,0.538,0.453,0.391,0.696,0.297,0.175,0.246,0.205,0.328,0.083,0.645,0.949,0.493,0.522,0.701,0.637,0.768,0.267,0.399,0.663,0.502,0.648,0.457,0.553,0.622,1.183,0.883,1.021,0.677,0.589,1.007,1.303,1.276,1.372,0.84,1.603,2.484,2.324,2.994,3.273,2.389,3.473,3.962,3.664,3.413,4.177,3.254,4.528,4.476,4.962,4.089,4.176,5.829,3.563,4.289,3.371,3.296,3.173,2.728,,,,
CO,PIPO,M,B-T1,A,B-T1-A,PIPO-M-B-T1-A,,,2014,0,0,0,0,0,104,RINGWIDTH,1,NotAFile,3/17/15 14:28,                   ,,3977 24850 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],532.0000 20248.0000 580.0000 1086.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,202.7481,0.36,0.494,0.389,0.756,0.89,0.736,0.809,0.83,0.494,0.85,0.618,0.462,0.264,0.824,0.906,1.178,0.765,1.163,0.766,1.065,0.872,0.851,0.967,0.729,1.056,0.957,0.928,1.023,1.23,0.811,1.023,1.409,1.246,0.841,0.795,0.772,0.74,0.362,0.757,0.926,0.672,0.771,0.677,0.778,0.523,0.902,0.747,0.834,0.663,0.779,0.795,0.854,0.8,1.002,0.826,0.438,0.734,1.387,1.063,1.555,1.444,1.497,2.04,1.332,1.703,2.328,1.917,2.222,1.91,2.416,2.278,2.571,2.674,1.968,2.438,2.371,2.547,2.796,2.636,2.617,2.494,3.126,2.027,1.56,1.335,3.383,3.204,4.825,3.812,3.575,3.458,4.758,3.833,4.637,4.59,5.501,5.241,4.418,6.103,3.474,4.849,4.245,5.085,0.377,,,,,
CO,PIPO,M,B-T1,B,B-T1-B,PIPO-M-B-T1-B,,,2014,0,0,0,0,0,102,RINGWIDTH,1,NotAFile,3/17/15 14:28,                   ,,3977 24850 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3453.0000 24570.0000 3132.0000 3486.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,223.1093,0.668,0.666,0.634,0.73,0.92,0.751,0.889,0.973,0.709,1.227,0.677,0.772,0.338,0.845,1.238,1.523,1.27,1.521,0.935,1.684,1.329,1.433,1.863,1.428,1.721,1.298,1.713,1.587,1.766,1.195,1.257,1.476,1.436,0.954,0.83,0.99,0.822,0.455,0.899,1.289,0.793,1.099,0.835,1,0.617,1.352,1.077,1.003,1.066,0.917,0.884,0.821,0.777,0.6,0.403,0.178,0.328,0.497,0.349,0.528,0.962,1.32,1.751,1.752,1.957,2.352,1.679,2.573,2.422,2.724,2.821,3.619,3.172,3.218,3.124,2.434,3.567,3.433,2.801,3.131,2.91,3.382,3.723,3.738,3.841,4.497,4.781,5.65,4.91,4.89,4.388,6.415,4.575,6.069,5.719,5.926,5.484,4.973,7.296,3.516,5.338,0.203,,,,,,,
CO,PIPO,M,B-T8,A,B-T8-A,PIPO-M-B-T8-A,,,2014,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,3/17/15 14:53,                   ,,3977 22408 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],552.0000 18776.0000 300.0000 284.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,195.0683,0.69,0.836,0.995,1.28,1.354,1.46,1.109,1.026,0.846,1.248,0.677,0.709,0.094,0.783,0.94,1.595,1.256,1.528,1.034,1.803,1.442,1.143,1.523,1.426,1.729,1.394,1.915,1.604,1.821,1.651,1.645,1.613,1.447,1.589,1.016,1.179,1.137,0.737,1.424,1.99,1.306,1.643,1.258,1.212,0.933,1.876,1.752,1.889,1.911,1.853,1.425,1.401,1.459,2.019,1.448,0.856,1.693,2.477,1.938,2.235,2.359,1.998,2.095,1.914,1.872,3.474,2.394,3.203,2.749,3.377,2.981,4.294,3.012,4.253,3.462,3.392,4.653,4.876,4.421,3.773,3.97,3.086,3.273,2.741,3.639,3.956,3.457,3.882,4.053,3.52,0.332,,,,,,,,,,,,,,,,,,
CO,PIPO,M,B-T8,B,B-T8-B,PIPO-M-B-T8-B,,,2014,0,0,0,0,0,95,RINGWIDTH,1,NotAFile,3/17/15 14:53,                   ,,3977 22408 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3504.0000 20160.0000 3496.0000 1636.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,195.6796,0.87,0.811,0.811,1.272,1.237,1.227,1.039,1.127,0.738,0.94,0.602,0.654,0.125,0.663,1.038,1.845,1.048,1.28,0.833,1.681,1.291,1.398,1.834,1.267,1.688,1.377,1.649,1.496,1.904,1.347,1.221,1.494,1.335,1.649,1.063,1.103,1.111,0.868,1.119,1.693,1.112,1.123,0.937,1.029,0.585,1.512,1.471,1.409,1.775,1.967,1.222,1.137,1.389,1.35,1.401,0.904,1.797,2.172,1.755,2.232,2.169,1.881,2.231,1.58,1.638,2.855,2.259,2.764,2.85,3.005,2.723,3.479,2.857,3.64,2.668,2.768,4.015,4.169,5.016,3.657,4.086,3.157,3.325,2.323,3.001,3.407,2.567,3.536,3.867,2.38,2.716,3.649,3.433,4.607,0.312,,,,,,,,,,,,,,
CO,PIPO,M,C-T2,A,C-T2-A,PIPO-M-C-T2-A,,,2014,0,0,0,0,0,82,RINGWIDTH,1,NotAFile,3/17/15 15:22,                   ,,3977 20518 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],584.0000 14530.0000 500.0000 2902.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,122.5913,0.369,0.718,0.727,0.929,1.041,0.881,0.839,1.547,0.761,0.811,0.677,0.498,0.079,0.872,0.888,1.04,0.8,1.206,0.63,1.2,0.797,0.874,1.237,1.11,1.058,1.088,1.291,1.208,1.704,0.861,1.114,1.814,1.532,1.121,1.351,1.486,1.097,0.367,1.17,1.106,0.844,0.771,1.098,0.848,0.368,1.83,1.291,1.672,1.661,2.307,1.73,1.17,1.585,1.586,1.364,0.614,1.942,2.541,2.039,2.147,2.166,2.272,2.155,1.614,1.795,2.145,1.86,2.73,2.232,2.075,2.412,2.537,2.593,3.044,2.131,2.336,2.623,3.48,3.365,3.203,2.673,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,M,C-T2,B,C-T2-B,PIPO-M-C-T2-B,,,2014,0,0,0,0,0,99,RINGWIDTH,1,NotAFile,3/17/15 15:22,                   ,,3977 20518 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3540.0000 19932.0000 3490.0000 242.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,208.3347,0.205,0.236,0.44,0.517,0.61,0.715,0.473,0.751,0.464,0.479,0.575,0.519,0.067,0.475,0.453,0.75,0.636,1.076,0.426,1.165,0.795,0.832,1.121,1.138,1.235,0.989,0.784,0.861,1.392,0.823,0.913,1.133,0.58,0.44,0.4,0.502,0.492,0.095,0.138,0.127,0.111,0.1,0.206,0.476,0.844,1.544,1.29,1.569,1.845,2.003,1.375,1.178,1.571,1.916,1.402,0.798,2.01,2.24,1.653,2.101,2.235,1.995,2.474,1.858,1.983,2.697,2.56,3.963,2.614,2.687,2.643,3.576,3.682,3.897,3.518,2.568,3.54,4.389,3.986,4.189,3.131,3.123,3.448,3.135,4.06,4.426,5.055,5.597,5.027,3.695,4.802,5.481,5.263,5.266,5.801,5.913,6.094,4.976,0.86,,,,,,,,,,
CO,PIPO,M,D-T2,A,D-T2-A,PIPO-M-D-T2-A,,,2014,0,0,0,0,0,86,RINGWIDTH,1,NotAFile,3/17/15 19:36,                   ,,3977 16895 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],612.0000 15864.0000 561.0000 2115.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,144.7027,1.099,0.984,0.955,1.28,1.017,1.467,1.17,1.368,0.98,1.005,0.824,0.845,0.137,0.888,0.831,1.755,1.129,1.437,1.005,1.297,0.964,0.896,1.661,1.268,1.535,0.95,1.457,1.44,1.808,1.238,1.172,1.602,1.09,1.065,0.951,1.418,1.048,0.423,1.164,1.364,1.279,1.205,1.407,1.333,1.365,1.852,1.744,1.806,1.524,1.838,1.214,1.1,1.226,1.162,1.574,1.076,1.867,2.22,1.65,1.892,2.071,2.313,1.788,1.702,2.354,2.98,2.283,3.073,2.507,2.654,2.994,3.524,2.369,3.84,3.248,2.6,3.363,4.263,3.364,2.327,2.092,2.228,2.492,1.629,1.803,0.603,,,,,,,,,,,,,,,,,,,,,,,
