Year,TmaxAn,TminAn,TaveAn,TaveWin,TaveGS,PPTGS,PPTAn,PPTWin,DD5_An,NFFDGS,NFFDAn,PASAn,ErefGS,CMDGS,CMDAn,TreeID,RWI,Elevation,Competition
2011,25.7,-13.5,5.433333333,-0.583333333,11.45,255,527,272,1435,126,148,132,739,482,506,H.10H,1.050496564,H,C
2010,24.9,-16.5,4.491666667,-2.366666667,11.35,247,609,362,1343,125,135,233,735,487,489,H.10H,1.012877452,H,C
2009,25.7,-12.1,5.5,-0.183333333,11.18333333,209,576,367,1371,127,142,166,749,538,560,H.10H,0.983346659,H,C
2008,24.8,-13.8,4.65,-1.383333333,10.68333333,236,497,261,1294,115,128,193,738,502,550,H.10H,1.061053759,H,C
2007,25.7,-14.1,5.441666667,-0.95,11.83333333,328,688,360,1440,126,141,174,766,435,445,H.10H,1.612722521,H,C
2006,24.9,-11.4,5.7,-0.016666667,11.41666667,366,727,361,1368,129,148,162,749,382,382,H.10H,1.108820015,H,C
2005,25,-11.6,5.125,-0.683333333,10.93333333,240,607,367,1297,120,138,175,734,494,494,H.10H,0.900429164,H,C
2004,24.5,-12.5,5.275,-0.416666667,10.96666667,239,610,371,1368,127,148,179,740,501,505,H.10H,1.04208822,H,C
2003,27.8,-10.2,5.908333333,-0.066666667,11.88333333,194,546,352,1454,128,143,156,765,571,572,H.10H,0.981643751,H,C
2002,26,-13.1,5.691666667,-0.666666667,12.05,252,517,265,1481,134,151,121,779,527,547,H.10H,0.230009522,H,C
2001,24.4,-11.9,5.475,-1.05,12,258,587,329,1455,132,150,156,772,516,516,H.10H,1.142763382,H,C
2000,25.6,-12.2,6.383333333,0.55,12.21666667,193,519,326,1514,133,148,130,786,593,625,H.10H,1.099056201,H,C
1999,23.2,-13.6,4.866666667,0.133333333,9.6,348,636,288,1131,108,124,141,695,347,360,H.10H,1.214055688,H,C
1998,24.4,-12.4,4.875,-0.933333333,10.68333333,346,666,320,1279,115,125,196,735,387,395,H.10H,0.822623891,H,C
1997,23.3,-10.6,4.941666667,-0.4,10.28333333,307,622,315,1233,124,142,166,708,406,419,H.10H,0.979967906,H,C
1996,25,-11.7,5.85,-0.083333333,11.78333333,308,576,268,1436,135,150,141,748,440,515,H.10H,0.630225799,H,C
1995,23.7,-11.3,4.95,-0.4,10.3,309,724,415,1205,123,143,211,682,376,377,H.10H,0.917436595,H,C
1994,24.9,-13.8,5.066666667,-1.733333333,11.86666667,320,560,240,1440,138,152,146,743,422,470,H.10H,1.034922181,H,C
1993,24.3,-13.1,4.675,-0.916666667,10.26666667,244,611,367,1234,118,139,214,714,476,522,H.10H,0.950593943,H,C
1992,22.7,-13.8,5.3,-0.983333333,11.58333333,312,703,391,1386,138,155,186,740,428,448,H.10H,1.030542262,H,C
1991,23.7,-15.6,4.491666667,-1.75,10.73333333,283,626,343,1292,123,137,205,720,437,442,H.10H,0.97943851,H,C
1990,25.5,-13.1,5.616666667,-0.683333333,11.91666667,384,565,181,1445,132,146,90,760,376,444,H.10H,0.978148411,H,C
1989,26.2,-14,5.8,-0.483333333,12.08333333,174,498,324,1518,128,149,178,792,618,700,H.10H,0.752843504,H,C
1988,24.5,-13.8,4.983333333,-1.416666667,11.38333333,290,647,357,1390,126,143,193,740,450,450,H.10H,0.804704788,H,C
1987,24.2,-11.7,4.958333333,-1.133333333,11.05,289,666,377,1273,124,141,203,745,456,456,H.10H,1.022606765,H,C
1986,24.3,-11.6,5.533333333,0.383333333,10.68333333,469,783,314,1282,125,146,137,706,279,294,H.10H,1.422749812,H,C
1985,25,-11.8,4.9,-1.45,11.25,352,780,428,1286,127,141,216,746,422,422,H.10H,0.836381295,H,C
1984,24.8,-14.2,5.025,-1.35,11.4,327,676,349,1430,132,150,232,732,405,442,H.10H,0.933297245,H,C
1983,24.4,-11.1,4.708333333,-1.05,10.46666667,361,760,399,1267,120,133,267,700,342,373,H.10H,1.303117025,H,C
1982,24.2,-12.8,4.891666667,-0.95,10.73333333,347,731,384,1272,125,144,201,706,371,373,H.10H,1.207438857,H,C
1981,23.9,-10.3,6.066666667,0.466666667,11.66666667,361,591,230,1404,134,148,111,731,371,385,H.10H,1.050121895,H,C
1980,25.4,-11,4.833333333,-1.116666667,10.78333333,276,669,393,1332,119,136,278,734,458,493,H.10H,0.833463578,H,C
1979,24.7,-15.3,4.133333333,-2.45,10.71666667,193,750,557,1297,120,136,384,735,542,549,H.10H,0.973433294,H,C
1978,25.6,-11.5,5.233333333,-0.166666667,10.63333333,245,690,445,1273,119,135,225,736,491,515,H.10H,1.058602375,H,C
1977,24.1,-15.5,4.883333333,-1.983333333,11.75,298,381,83,1393,129,137,68,747,451,503,H.10H,0.531674894,H,C
1976,24.8,-13.6,4.841666667,-0.95,10.63333333,281,515,234,1244,121,130,133,730,449,501,H.10H,1.04597341,H,C
1975,23.3,-14.1,3.666666667,-2.083333333,9.416666667,234,675,441,1115,104,121,292,692,459,459,H.10H,1.176511135,H,C
1974,23.4,-14.9,4.8,-1.25,10.85,181,408,227,1313,120,133,151,752,571,640,H.10H,1.186464968,H,C
1973,23.3,-15.3,3.558333333,-2.533333333,9.65,249,768,519,1135,109,132,325,701,452,452,H.10H,1.040069802,H,C
1972,25.1,-12.6,5.091666667,-0.8,10.98333333,248,508,260,1294,120,134,125,749,500,561,H.10H,0.954960232,H,C
1971,25,-12.9,4.333333333,-1.716666667,10.38333333,332,536,204,1186,108,118,131,731,398,398,H.10H,0.948956724,H,C
1970,24.2,-12.1,4.425,-1.2,10.05,306,611,305,1175,115,129,177,699,408,408,H.10H,1.097341323,H,C
1969,24.2,-14.4,4.6,-2,11.2,306,705,399,1320,129,144,262,715,409,431,H.10H,1.435235788,H,C
1968,22.8,-14.4,4.2,-1.133333333,9.533333333,260,515,255,1119,112,125,214,682,423,525,H.10H,1.105819814,H,C
1967,24,-13.6,4.975,-0.3,10.25,281,499,218,1228,120,135,126,693,412,498,H.10H,1.13206025,H,C
1966,25,-14.6,5.225,-0.966666667,11.41666667,240,577,337,1406,127,142,154,751,511,546,H.10H,0.939910306,H,C
1965,23.1,-12.7,4.166666667,-1.316666667,9.65,407,731,324,1120,118,130,264,661,271,345,H.10H,0.984577261,H,C
1964,24.5,-15,4.3,-1.683333333,10.28333333,333,537,204,1275,121,141,163,698,384,406,H.10H,0.895441734,H,C
1963,25.4,-16,5.416666667,-0.633333333,11.46666667,247,555,308,1425,129,148,142,739,492,492,H.10H,0.778310042,H,C
1962,24.8,-14.8,4.408333333,-2.116666667,10.93333333,199,488,289,1245,119,132,157,748,549,549,H.10H,0.920893155,H,C
1961,24.4,-13.9,4.925,-0.783333333,10.63333333,271,625,354,1259,119,137,171,729,458,463,H.10H,0.931811566,H,C
1960,25.8,-14.5,4.85,-1.583333333,11.28333333,204,604,400,1342,120,133,211,772,566,571,H.10H,0.967029759,H,C
