State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Aspect,Slope,DBH,Bark,BAF,PIPO_L,PIPO_R,PIPO_G,POTR_L,POTR_R,POTR_G,PIEN_L,PIEN_R,PIEN_G,PSME_L,PSME_R,PSME_G,ABLA_L,ABLA_R,ABLA_G,PIED_L,PIED_R,PIED_G,QUGA_L,QUGA_R,QUGA_G,Jun_sp_L,Jun_sp_R,Jun_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,PIPO_5,PIPO_5d,POTR_5,POTR_5d,PIEN_5,PIEN_5d,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIED_5,PIED_5d,QUGA_5,PIPU_5,PIPU_5d,Jun_sp_5,Jun_sp_5d,N_Cr,p_bot(of canopy),p_top(of canopy),p_base(ref),dist,three_cams,Notes,pic_N,pic_S,PIPO_r1,PIPO_r2,PIPO_r3,PIPO_r4,PIPO_reg_dead,POTR_r1,POTR_r2,POTR_r3,POTR_r4,POTR_reg_dead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rdead,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rt,PIEN_rdead,PIED_R1,PIED_r2,PIED_r3,PIED_r4,PIED_rdead,Jun_spR1,Jun_spr2,Jun_spr3,Jun_spr4,Jun_sprdead,other
CO,ABLA,H,1,H,ABLA-H-1H,37.45735,108.083816,4360,255,19.5,33.1,1.1,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,65,65,0,65,65,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,24.5,95.2,0,19,n,"just iphone and Olympia. No regen, originally recorded as ddd.mm.dddd",NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,1,L,ABLA-H-1L,37.45758,108.08465,3452,230,17,45.5,2,5,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85,5,5,0,5,80,85,0,80,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,78,0,17,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,2,H,ABLA-H-2H,37.45622,108.08311,3498,230,15,26.2,1.5,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,70,70,70,0,70,0,0,0,0,70,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,22.5,75,0,,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,2,L,ABLA-H-2L,37.45635,108.08355,3496,230,10,19.4,1.5,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,52.4,0,15,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,3,L,ABLA-H-3L,37.46117,108.08751,3447,SSW,30,21,1.1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,0,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,52.6,0,18,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,3,H,ABLA-H-3H,37.46169,108.08877,3458,SSW,30,23.5,1.8,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,40,0,40,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,57.1,0,18,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,4,H,ABLA-H-4H,37.46403,108.08882,3473,S,35,27.8,1.9,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,40,0,40,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,62.7,0,19,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,4,L,ABLA-H-4L,37.46393,108.08939,3440,S,13,30.5,2.1,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,72.4,0,18,n,just iphone and Olympia. No regen,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,5,L,ABLA-H-5L,37.47036,108.0904,3466,WSW,38,32.1,1.8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,15,0,15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.7,0,16,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,2,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,
CO,ABLA,H,5,H,ABLA-H-5H,37.4705,108.09035,3479,WSW,50,31.1,1.5,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,40,0,40,40,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,27.2,101.4,0,16,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,4,2,0,0,NA,1,1,2,4,0,NA,0,0,0,0,NA,0,0,0,0,NA,
