"","State","Species","Band","Pair","Comp","Tag","Lat","Long","Elev","Aspect","Slope","DBH","Bark","BAF","PIPO_L","PIPO_R","PIPO_G","POTR_L","POTR_R","POTR_G","PIEN_L","PIEN_R","PIEN_G","PSME_L","PSME_R","PSME_G","ABLA_L","ABLA_R","ABLA_G","PIED_L","PIED_R","PIED_G","QUGA_L","QUGA_R","QUGA_G","Jun_sp_L","Jun_sp_R","Jun_sp_G","BA_tot","BA_sameL","BA_sameLR","BA_sameRG","BA_same_all","BA_otherL","BA_otherLR","BA_otherRG","BA_other_all","BA_totL","BA_totR","BA_totG","PIPO_5","PIPO_5d","POTR_5","POTR_5d","PIEN_5","PIEN_5d","ABLA_5","ABLA_5d","PSME_5","PSME_5d","PIED_5","PIED_5d","QUGA_5","PIPU_5","PIPU_5d","Jun_sp_5","Jun_sp_5d","in5_tot","in5_L","in5_same","in5_sameL","in5_other","in5_otherL","N_Cr","p_bot.of.canopy.","p_top.of.canopy.","p_base.ref.","dist","three_cams","Notes","pic_N","pic_S","PIPO_r1","PIPO_r2","PIPO_r3","PIPO_r4","PIPO_reg_dead","POTR_r1","POTR_r2","POTR_r3","POTR_r4","POTR_reg_dead","PSME_r1","PSME_r2","PSME_r3","PSME_r4","PSME_rdead","ABLA_r1","ABLA_r2","ABLA_r3","ABLA_r4","ABLA_rt","ABLA_rdead","PIEN_r1","PIEN_r2","PIEN_r3","PIEN_r4","PIEN_rt","PIEN_rdead","PIED_R1","PIED_r2","PIED_r3","PIED_r4","PIED_rdead","Jun_spR1","Jun_spr2","Jun_spr3","Jun_spr4","Jun_sprdead","other","BAI10yr"
"92","CO","PIPO","H","01","H","PIPO-H-01H",37.49069,108.23952,2705,"S",5,35.7,2.4,10,3,0,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,30,30,0,30,80,80,20,100,110,0,20,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,6,0,0,6,6,4,48.1,90,0,19,"","originally entered into wrong spreadsheet and shifted",234,235,0,0,0,0,NA,40,15,1,0,NA,0,0,0,2,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1631.01995731051
"91","CO","PIPO","H","01","L","PIPO-H-01L",37.49058,108.23962,2709,"S",5,41.4,2.6,10,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10,10,0,10,60,60,0,60,70,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,0,5,5,3,21,107,0,18,"","originally entered into wrong spreadsheet and shifted",232,233,0,0,0,0,NA,20,9,2,1,"3",0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,3356.50652861943
"109","CO","PIPO","H","10","H","PIPO-H-10H",37.46262,108.23158,2669,"SSW",1,57.6,3.4,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,120,125,5,125,0,0,0,0,120,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,8,72,139,-12.3,16,"","",308,309,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2272.71580871446
"110","CO","PIPO","H","10","L","PIPO-H-10L",37.46243,108.23191,2661,"S",2,54.2,4.1,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,25,25,0,25,15,10,0,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,2,1,23.8,112,-8.2,16,"","",310,311,0,0,1,0,NA,7,2,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,4219.35636370565
"111","CO","PIPO","H","11","H","PIPO-H-11H",37.45879,108.23503,2646,"S",2,57,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,0,65,0,0,0,0,65,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,6,34.1,159,-12.1,15,"","",316,317,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,3288.67778802061
"112","CO","PIPO","H","11","L","PIPO-H-11L",37.45859,108.23398,2652,"S",2,53.3,2.5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,20,0,20,5,5,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,-11.4,16,"","",318,319,0,0,0,0,NA,2,3,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,4507.4097665524
"113","CO","PIPO","H","12","H","PIPO-H-12H",37.47892,108.23125,2711,"SW",5,56.2,5.2,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,0,55,0,0,0,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,2,2,6,24.9,68,-5.8,32,"","",320,321,0,0,0,0,NA,1,0,0,0,"1,",2,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1971.58522289076
"114","CO","PIPO","H","12","L","PIPO-H-12L",37.47898,108.23145,2709,"SW",5,63.7,4.7,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,25,0,25,5,5,0,5,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,10.9,66.5,-9.2,31,"","",322,323,0,0,0,0,NA,1,3,3,3,"2,",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,3421.0639042051
"93","CO","PIPO","H","2","H","PIPO-H-2H",37.48562,108.24797,2679,"S",5,68.7,5.4,10,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,30,30,0,30,30,30,70,100,60,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,1,1,4,4,4,33.4,98.3,-10.9,22,"","originally entered into wrong spreadsheet and shifted",244,245,0,0,1,0,NA,2,7,2,0,"3,2,2,2,2,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,3269.76897027335
"94","CO","PIPO","H","2","L","PIPO-H-2L",37.48611,108.24815,2679,"SSW",5,78.5,5.8,10,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,20,0,20,20,20,10,30,40,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,25,122,-9.8,18,"","originally entered into wrong spreadsheet and shifted",246,247,0,0,0,0,NA,1,18,1,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1152.13017343498
