Year,ID1,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
1901,CO,PIPO-H,37.4732,-108.2355,2682,3.5,4.6,5.7,9.7,14.8,21.7,26.2,24.9,21,15.6,10.3,4.9,-12.2,-8.7,-10.9,-6.8,-2.3,1.1,6.1,7.9,1.5,-0.1,-6.7,-11.8,-4.3,-2.1,-2.6,1.4,6.2,11.4,16.2,16.4,11.2,7.7,1.8,-3.4,26,42,17,42,41,20,42,56,11,42,17,18
1902,CO,PIPO-H,37.4732,-108.2355,2682,4.8,5.5,4,13.1,17.2,25.6,24,24.6,20.1,14.5,5.8,1.2,-10.1,-10.2,-8.6,-3.4,0.3,3.8,3.7,6.4,2.5,-0.5,-5.6,-11.9,-2.7,-2.4,-2.3,4.9,8.7,14.7,13.8,15.5,11.3,7,0.1,-5.4,39,39,35,11,50,19,32,72,69,28,34,81
1903,CO,PIPO-H,37.4732,-108.2355,2682,0.6,-1.1,5.6,9.3,14.3,20.2,23.7,24.8,17.9,15.4,9.8,4.4,-12.2,-14.2,-6.9,-3,0,4.1,5.5,6.3,2.5,-0.9,-7.4,-13.3,-5.8,-7.7,-0.7,3.2,7.2,12.2,14.6,15.5,10.2,7.2,1.2,-4.4,32,58,58,48,51,26,87,58,77,7,4,10
1904,CO,PIPO-H,37.4732,-108.2355,2682,2.3,7.5,8.8,12.6,16,20.9,23.8,22.5,19.9,12.5,9.4,2.4,-13.7,-7.6,-5.6,-2.8,0.7,2.1,3.9,7.2,3.5,-1.7,-9.1,-11.3,-5.7,-0.1,1.6,4.9,8.4,11.5,13.8,14.8,11.7,5.4,0.1,-4.5,9,21,80,26,46,20,33,94,51,80,0,36
1905,CO,PIPO-H,37.4732,-108.2355,2682,0.4,2,7,9.3,13.1,22,23.1,24.5,19.5,13.4,6.7,0.3,-10.9,-11.7,-4.8,-3.5,-1.2,2.7,4,5.7,2.9,-2.9,-6.7,-14.2,-5.2,-4.8,1.1,2.9,5.9,12.4,13.6,15.1,11.2,5.2,0,-6.9,90,77,141,75,45,23,44,32,70,4,106,15
1906,CO,PIPO-H,37.4732,-108.2355,2682,1.6,6.1,6,9.7,14.8,21.2,22.2,22.2,18.5,13.6,6.2,4.9,-12.7,-8.8,-6.7,-3.8,0.1,1.6,5.1,5.2,2,-1.9,-6.6,-7.2,-5.5,-1.4,-0.4,3,7.5,11.4,13.6,13.7,10.3,5.9,-0.2,-1.1,76,14,111,74,51,6,59,51,84,26,82,99
1907,CO,PIPO-H,37.4732,-108.2355,2682,2.4,8.2,8.9,10.8,12.1,19.2,23.7,21.8,19.4,14.5,6.5,2.9,-8.1,-5.9,-5.6,-2.6,-1.5,0.4,4.9,6.4,2,0.8,-7.9,-11.3,-2.8,1.1,1.7,4.1,5.3,9.8,14.3,14.1,10.7,7.6,-0.7,-4.2,85,45,74,57,61,38,47,132,24,37,37,61
1908,CO,PIPO-H,37.4732,-108.2355,2682,2,2.3,8.2,11.4,12.5,20.6,23.8,21.7,19.5,10.8,6.5,0.9,-10.9,-11.1,-7.1,-3.6,-2.4,0.5,5.2,5.7,1.8,-3.4,-9.5,-13,-4.5,-4.4,0.6,3.9,5,10.5,14.5,13.7,10.6,3.7,-1.5,-6,54,79,48,72,55,13,59,125,39,64,40,110
1909,CO,PIPO-H,37.4732,-108.2355,2682,3.8,2.3,5.6,9.1,13.2,22.9,24.3,21.8,17.7,15.4,6.4,-4,-8.4,-11.8,-8.6,-5.3,-1.9,2.8,6,7.4,2.9,-1.5,-7.2,-16.6,-2.3,-4.8,-1.5,1.9,5.6,12.9,15.2,14.6,10.3,7,-0.4,-10.3,97,48,59,43,25,12,71,109,86,12,51,99
1910,CO,PIPO-H,37.4732,-108.2355,2682,0.8,1.9,11.6,12.2,17,23.3,25.1,23.7,21.3,13.4,8.3,3.6,-12,-12,-5,-3.4,0.3,3.1,5.7,6.4,4.2,-1,-5.4,-9.3,-5.6,-5.1,3.3,4.4,8.6,13.2,15.4,15.1,12.7,6.2,1.5,-2.8,60,36,35,32,6,24,41,46,30,93,57,36
