"","Tag","Species","Elev","Plot","Tree","Stage","PlotUn","DBH","Bark1","Bark2","BarkAv","BAI10yr"
"91","POTR-H-A-T1","POTR","H","A","T1","Adult","POTR-H-A",31,NA,NA,1.32649546959164,679.02044767543
"92","POTR-H-A-T3","POTR","H","A","T3","Adult","POTR-H-A",35.2,NA,NA,1.58864565519125,801.711753943286
"97","POTR-H-B-T3","POTR","H","B","T3","Adult","POTR-H-B",43.2,NA,NA,2.18000156228403,1422.83948076546
"98","POTR-H-B-T5","POTR","H","B","T5","Adult","POTR-H-B",52,NA,NA,2.96988409532939,1173.50216114121
"103","POTR-H-C-T13","POTR","H","C","T13","Adult","POTR-H-C",33.1,NA,NA,1.4534125911697,1071.33885925207
"104","POTR-H-C-T5","POTR","H","C","T5","Adult","POTR-H-C",37.8,NA,NA,1.76759870233125,1424.19985156496
"108","POTR-H-D-T3","POTR","H","D","T3","Adult","POTR-H-D",27.2,NA,NA,1.117974627097,1100.88940700169
"109","POTR-H-D-T6","POTR","H","D","T6","Adult","POTR-H-D",25.1,NA,NA,1.01442134381256,635.047653382662
"113","POTR-H-E-T4","POTR","H","E","T4","Adult","POTR-H-E",23.6,NA,NA,0.945546106227851,705.278700702646
"114","POTR-H-E-T6","POTR","H","E","T6","Adult","POTR-H-E",30,NA,NA,1.2689815819439,1054.10584036605
"118","POTR-L-A-T10","POTR","L","A","T10","Adult","POTR-L-A",17.9,NA,NA,0.72251479273487,468.756924554521
"119","POTR-L-A-T3","POTR","L","A","T3","Adult","POTR-L-A",21.9,NA,NA,0.872616610989288,351.155231074042
"122","POTR-L-B-T1","POTR","L","B","T1","Adult","POTR-L-B",24.5,NA,NA,0.986362109445399,466.748359940435
"123","POTR-L-B-T6","POTR","L","B","T6","Adult","POTR-L-B",29.4,NA,NA,1.23537838594775,1481.24634807596
"127","POTR-L-C-T1","POTR","L","C","T1","Adult","POTR-L-C",20.6,0.8,NA,0.8,677.340737700214
"129","POTR-L-C-T8","POTR","L","C","T8","Adult","POTR-L-C",21.5,NA,NA,0.856248724275113,276.791397625862
"133","POTR-L-D-T2","POTR","L","D","T2","Adult","POTR-L-D",27.2,0.8,NA,0.8,1271.0601086747
"134","POTR-L-D-T8","POTR","L","D","T8","Adult","POTR-L-D",26.2,1.2,1,1.1,1301.23365933047
"138","POTR-L-E-T2","POTR","L","E","T2","Adult","POTR-L-E",27.1,0.8,NA,0.8,1249.0734465295
"139","POTR-L-E-T3","POTR","L","E","T3","Adult","POTR-L-E",26.4,0.7,0.9,0.8,1258.82134357788
"143","POTR-M-A-T3","POTR","M","A","T3","Adult","POTR-M-A",39.6,NA,NA,1.89895665031621,2226.28007772718
"147","POTR-M-B-T1","POTR","M","B","T1","Adult","POTR-M-B",47,1.4,NA,1.4,3631.55927156015
"149","POTR-M-B-T3","POTR","M","B","T3","Adult","POTR-M-B",55.1,NA,NA,3.28291992873799,2138.4523078532
"155","POTR-M-C-T4","POTR","M","C","T4","Adult","POTR-M-C",41,2,2,2,734.585350861492
"156","POTR-M-C-T8","POTR","M","C","T8","Adult","POTR-M-C",36.8,NA,NA,1.69726204628992,941.30174781423
"160","POTR-M-D-T4","POTR","M","D","T4","Adult","POTR-M-D",22.7,0.6,NA,0.6,1023.50783942315
"164","POTR-M-E-T1","POTR","M","E","T1","Adult","POTR-M-E",41.5,1.4,NA,1.4,1231.14003628128
"165","POTR-M-E-T3","POTR","M","E","T3","Adult","POTR-M-E",46.3,NA,NA,2.44159546601951,1907.80507344667
"166","POTR-M-E-T5","POTR","M","E","T5","Adult","POTR-M-E",43,NA,NA,2.16374681764392,1525.93093120437
