,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Aspect,Slope,DBH,Bark,BAF,PIPO_L,PIPO_R,PIPO_G,POTR_L,POTR_R,POTR_G,PIEN_L,PIEN_R,PIEN_G,PSME_L,PSME_R,PSME_G,ABLA_L,ABLA_R,ABLA_G,PIED_L,PIED_R,PIED_G,QUGA_L,QUGA_R,QUGA_G,Jun_sp_L,Jun_sp_R,Jun_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,PIPO_5,PIPO_5d,POTR_5,POTR_5d,PIEN_5,PIEN_5d,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIED_5,PIED_5d,QUGA_5,PIPU_5,PIPU_5d,Jun_sp_5,Jun_sp_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,N_Cr,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,three_cams,Notes,pic_N,pic_S,PIPO_r1,PIPO_r2,PIPO_r3,PIPO_r4,PIPO_reg_dead,POTR_r1,POTR_r2,POTR_r3,POTR_r4,POTR_reg_dead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rdead,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rt,PIEN_rdead,PIED_R1,PIED_r2,PIED_r3,PIED_r4,PIED_rdead,Jun_spR1,Jun_spr2,Jun_spr3,Jun_spr4,Jun_sprdead,other
155,CO,POTR,H,1,H,POTR-H-01H,37.47519,108.16055,3060,SSW,15,30.2,1.1,10,0,0,0,23,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,320,230,230,0,230,90,90,0,90,320,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,9,9,5,5,4,4,5,90,116,0,20,y,near ABLA-L-1H,130,131,0,0,0,0,NA,7,2,0,0,NA,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
156,CO,POTR,H,1,L,POTR-H-01L,37.4755,108.16063,3060,SW,15,34,1,10,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,30,30,0,30,40,40,0,40,70,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,1,45.9,73.7,0,29,y,near ABLA-L-1L,132,133,0,0,0,0,NA,24,3,3,3,NA,0,0,0,0,NA,1,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
157,CO,POTR,H,2,H,POTR-H-2H,37.4766,108.16027,3076,SW,5,44,2.2,10,0,0,0,4,0,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,160,40,40,10,50,110,110,0,110,150,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,2,55,73,0,33,y,,136,137,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,NA,11,2,1,0,0,NA,1,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
158,CO,POTR,H,2,L,POTR-H-2L,37.47657,108.16007,3077,SW,5,48,2.5,10,0,0,0,3,0,0,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,160,30,30,0,30,120,130,10,130,150,10,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,9,1,1,8,8,3,48,68,0,34,y,,138,139,0,0,0,0,NA,9,0,0,0,NA,0,0,0,0,NA,3,8,2,2,0,"2,3",0,0,0,2,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
160,CO,POTR,H,3,H,POTR-H-3H,37.47728,108.15832,3103,SW,20,25.6,1.1,10,0,0,0,7,0,0,4,0,0,0,0,0,11,2,2,0,0,0,0,0,0,0,0,0,260,70,70,0,70,150,170,40,190,220,20,20,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,8,8,2,2,6,6,5,79.1,102,-29.1,17,y,same pics as ABLA-L-3H,147,148,0,0,0,0,NA,15,3,0,0,NA,0,0,0,0,NA,4,1,0,2,0,4,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
159,CO,POTR,H,3,L,POTR-H-3L,37.47728,108.15832,3103,SW,20,35.2,1.2,10,0,0,0,7,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,160,70,70,0,70,90,90,0,90,160,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,6,1,1,5,5,1,116,150,0,20,y,"only one pic with all, only swung 1/2 regen, so multiplied by 2",146,NA,0,0,0,0,NA,38,8,0,0,NA,0,0,0,0,NA,18,22,14,6,0,NA,0,4,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
162,CO,POTR,H,4,H,POTR-H-4H,37.4781,108.15974,3092,WSW,15,41.3,1.9,10,0,0,0,4,0,0,4,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,140,40,40,0,40,80,90,20,100,120,10,10,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,10,10,2,2,8,8,4,69.3,88.7,0,33,y,,151,152,0,0,0,0,NA,1,2,0,0,NA,0,0,0,0,NA,14,8,6,3,0,NA,2,10,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
161,CO,POTR,H,4,L,POTR-H-4L,37.47813,108.15969,3089,WSW,7,54.1,2.7,10,0,0,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,80,10,10,10,20,40,40,20,60,50,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,63,113,0,26,y,,149,150,0,0,0,0,NA,12,1,0,0,NA,0,0,0,0,NA,4,6,1,2,0,NA,2,1,3,6,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
163,CO,POTR,H,5,H,POTR-H-5H,37.48036,108.16074,3100,S,20,34.7,1.5,10,0,0,0,12,0,4,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,270,120,120,40,160,110,110,0,110,230,0,40,0,0,9,0,3,0,3,0,0,0,0,0,0,0,0,0,0,15,15,9,9,6,6,5,62.5,85.4,0,27,y,,161,162,0,0,0,0,NA,0,0,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
164,CO,POTR,H,5,L,POTR-H-5L,37.48048,108.16118,3090,S,25,39.2,1.5,10,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,90,0,90,10,10,0,10,100,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,43.2,80,0,27,y,,163,164,0,0,0,0,NA,12,4,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
