State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,PIEN_L,PIEN_R,PIEN_G,Pinus_sp_L,Pinus_sp_R,Pinus_sp_G,PIMO_L,PIMO_R,PIMO_G,LAOC_L,LAOC_R,LAOC_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR?_L,ABGR?_R,ABGR?_G,PIAL_L,PIAL_R,PIAL_G,PICO_L,PICO_R,PICO_G,Pop_sp_L,Pop_sp_R,Pop_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIEN_5,PIEN_5d,Pinus_sp_5,Pinus_sp_5d,LAOC_5nw,LAOC_5dnw,PIMO_5,PIMO_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABRG?_5,ABRG?_5d,PICO_5,PICO_5D,PIAL_5,PIAL_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_bot(of canopy),p_top(of canopy),p_base(ref),dist,Height,N_Cr,p_taller,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR?_r1,ABGR?_r2,ABGR?_r3,ABGR?_r4,ABGR?_rdead,PIAL_r1,PIAL_r2,PIAL_r3,PIAL_r4,PIAL_rdead,Pinus_sp_r1,Pinus_sp_r2,Pinus_sp_r3,Pinus_sp_r4,Pinus_sprdead,PICO_R1,PICO_R2,PICO_R3,PICO_R4,PICO_R5,PICO_RD
MT,ABLA,H,1,C,ABLA-H-1C,48.62741,113.83385,2255,50.2,230,17.2,0.8,5,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,95,95,10,105,0,0,0,0,95,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,1.2,78.6,-15.9,6,5.67,4,NA,583,584,13,10,8,8,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,1,N,ABLA-H-1N,48.62751,113.83385,2259,44.7,240,16.8,0.7,5,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,75,5,80,0,0,0,0,75,0,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,12,0,0,-18.9,59.3,-18.9,6,4.692,0,NA,585,586,6,25,11,8,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,2,C,ABLA-H-2C,48.62709,113.83396,2249,53.3,240,22.7,1,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,160,0,160,0,0,0,0,160,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,-9.4,64.5,-27.9,7.5,6.93,3,NA,587,588,14,36,14,16,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,2,N,ABLA-H-2N,48.62699,113.83408,2238,52.4,250,20.6,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,0,0,0,0,100,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,-23.9,119,-25.8,5,7.24,1,NA,589,590,11,25,8,7,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,1,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,3,C,ABLA-H-3C,48.62897,113.83404,2272,56.7,240,19.6,1.1,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,70,5,70,0,0,0,0,65,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,11,10,0,0,15,35.7,0,14,4.998,4,0.8,990,991,28,60,34,18,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,3,N,ABLA-H-3N,48.62894,113.8343,2266,44.9,260,19.5,0.8,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,45,5,50,0,0,0,0,45,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,0,0,5.5,29,-1.2,13,3.926,1,0.9,988,989,54,44,28,16,0,"3,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,4,C,ABLA-H-4C,48.62841,113.83382,2269,41.1,230,19.7,0.5,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,80,55,60,10,65,10,10,5,15,65,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,14,12,12,2,2,0.1,25.8,-13,14,5.432,2,1,992,993,6,3,13,5,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,4,N,ABLA-H-4N,48.62834,113.83387,2266,50.3,220,19.8,0.6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,60,40,40,0,40,20,20,0,20,60,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,4,1,1,-7.9,23.3,-7.9,14,4.368,0,1,994,995,4,16,6,2,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,5,C,ABLA-H-5C,48.62811,113.83382,2263,4.7,260,23.5,0.7,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,105,0,105,0,0,0,0,105,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,19,18,0,0,4,36.3,-13.3,10,4.96,3,0.9,996,997,8,32,9,11,0,"2,3,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,5,N,ABLA-H-5N,48.62802,113.83369,2268,49.3,270,21.2,1.6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,0,55,0,0,0,0,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,-4.5,55.6,-6.4,12,7.44,0,1,998,999,15,20,5,2,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
