Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,01C,B,01C-B,MT-TSHE-H-01C-B,,,2013,0,0,0,0,0,61,RINGWIDTH,1,NotAFile,2/7/14 9:17,                   ,,3150 8250 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],600.0000 7046.0000 434.0000 716.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,133.9975,1.33,1.432,1.41,1.278,1.518,1.276,1.612,2.335,2.043,1.27,1.635,1.617,1.932,2.079,1.989,3.562,2.262,1.632,1.242,2.274,2.78,2.509,2.385,1.848,1.043,2.618,3.188,2.002,1.793,2.408,2.859,2.605,2.31,3.033,2.404,2.817,2.159,1.979,1.42,1.814,2.231,2.231,2.619,2.807,2.841,1.043,2.065,2.826,2.376,2.424,1.554,1.377,1.07,1.172,1.504,1.239,1.214,1.035,1.988,1.534,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,01C,A,01C-A,MT-TSHE-H-01C-A,,,2013,0,0,0,0,0,61,RINGWIDTH,1,NotAFile,2/7/14 9:17,                   ,,3150 8250 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2698.0000 7408.0000 2546.0000 1770.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,119.3511,0.587,0.612,0.926,0.733,0.885,0.841,0.971,1.351,1.162,0.734,1.765,1.704,1.453,1.893,1.723,2.844,2.877,2.56,2.412,3.513,2.659,3.144,1.632,1.235,0.44,1.319,1.496,1.231,1.234,1.521,1.785,1.785,1.877,1.19,1.22,1.265,0.887,1.027,0.882,1.359,1.795,1.662,2.037,2.232,2.143,1.419,2.106,2.629,2.273,2.016,1.993,1.359,1.118,1.353,1.437,1.709,1.654,1.369,2.465,1.891,1.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,01N,A,01N-A,MT-TSHE-H-01N-A,,,2013,0,0,0,0,0,81,RINGWIDTH,1,NotAFile,2/7/14 9:36,                   ,,4154 10534 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],834.0000 7761.0000 882.0000 192.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,144.2919,1.205,1.437,1.498,0.948,0.977,0.823,1.31,1.373,1.499,0.95,1.394,1.121,1.078,1.244,1.495,2.051,1.351,1.598,1.311,2.217,1.878,1.545,1.268,1.481,0.632,1.543,1.522,1.31,0.975,1.331,1.775,1.695,1.564,0.928,0.973,1.227,1.077,1.293,0.782,0.907,0.87,0.951,1.389,1.771,2.853,2.053,1.5,1.919,1.777,1.756,1.523,1.198,1.437,1.751,2.177,2.084,2.144,1.238,1.969,1.385,1.994,2.542,2.388,1.754,2.064,1.888,1.918,1.755,1.615,1.396,1.946,2.696,2.174,0.943,1.436,1.359,1.024,1.165,1.642,1.798,1.474,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,01N,B,01N-B,MT-TSHE-H-01N-B,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,2/7/14 9:36,                   ,,4154 10534 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3640.0000 10100.0000 3388.0000 1790.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,175.9317,1.195,1.436,1.586,1.469,1.288,1.307,2.423,2.55,2.043,1.473,2.249,2.489,2.889,2.976,3.37,4.154,2.711,2.939,2.529,3.187,1.953,2.987,1.335,1.223,0.823,1.385,1.592,1.94,0.968,1.331,1.871,1.504,1.984,1.399,1.211,1.756,2.232,2.532,1.056,1.096,1.047,1.331,1.766,2.029,3.042,1.928,1.675,2.27,2.014,2.487,2.114,1.068,1.414,1.778,2.119,1.751,1.892,1.009,1.879,1.341,1.763,1.949,2.224,2.126,2.481,1.821,1.416,1.615,1.654,1.447,1.882,1.9,1.733,1.149,1.838,2.109,1.921,1.378,1.062,0.957,0.582,0.692,0.65,0.904,0.925,0.838,0.441,0.582,0.693,1.463,1.84,,,,,,,,,,,,,
MT,TSHE,H,02C,B,02C-B,MT-TSHE-H-02C-B,,,2013,0,0,0,0,0,87,RINGWIDTH,1,NotAFile,2/7/14 9:50,                   ,,4154 10653 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1011.0000 7191.0000 1038.0000 276.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.3322,0.943,0.835,0.983,1.006,1.084,0.9,1.229,1.44,1.386,0.972,1.5,1.219,1.114,1.285,1.583,1.752,1.46,1.693,1.333,1.524,0.972,1.667,1.414,2.175,0.761,1.859,1.607,2.01,1.393,1.449,1.365,0.99,1.491,1.021,1.459,1.605,1.81,2.013,1.374,1.372,1.603,1.633,1.874,1.96,1.954,1.394,1.54,2.036,1.682,2.095,1.684,1.095,1.676,1.638,2.179,2.004,1.715,1.944,2.222,1.639,1.791,1.538,1.545,1.461,1.757,1.925,1.582,1.348,1.042,0.974,0.824,0.812,0.523,0.678,1.324,0.672,1.17,0.29,0.464,0.453,0.581,0.685,0.739,0.842,0.903,0.728,0.843,,,,,,,,,,,,,,,,,
MT,TSHE,H,02C,A,02C-A,MT-TSHE-H-02C-A,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,2/7/14 9:50,                   ,,4154 10653 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3224.0000 9196.0000 3304.0000 1806.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,156.3919,0.975,1.136,1.452,1.515,1.708,1.582,1.622,2.168,2.427,1.94,2.048,2.107,1.687,2.11,2.195,2.851,2.087,2.224,2.334,2.14,1.128,2.213,1.837,2.11,0.986,1.965,1.762,1.747,1.685,1.662,1.914,1.599,1.972,1.624,1.231,1.923,1.902,2.019,1.548,1.328,1.328,1.343,1.83,1.576,1.322,1.262,1.192,1.463,1.69,1.666,1.544,1.129,1.68,1.729,1.666,2.003,1.415,1.52,1.792,1.217,1.386,1.303,1.431,1.641,1.54,1.553,1.396,1.476,1.094,0.958,1.057,0.795,0.528,0.486,0.79,0.486,1.01,0.602,0.556,0.594,0.732,0.953,0.974,1.11,1.305,1.382,0.77,1.197,0.926,2.832,0.15,,,,,,,,,,,,,
MT,TSHE,H,02N,B,02N-B,MT-TSHE-H-02N-B,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,2/7/14 10:05,                   ,,4745 11854 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1050.0000 10668.0000 684.0000 1647.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,191.0532,2.482,3.943,3.788,4.605,2.811,2.497,3.954,4.44,4.846,4.079,2.451,1.734,1.882,2.088,1.731,1.394,0.846,1.1,1.078,1.946,2.095,2.155,2.18,2.371,1.542,2.462,2.645,2.363,1.545,1.778,2.285,1.429,1.884,1.397,1.37,1.903,1.756,1.754,1.41,1.07,1.497,1.305,1.792,1.507,2.564,1.012,1.339,1.594,0.853,1.445,1.208,1.064,1.777,1.411,1.382,1.29,1.909,1.184,1.738,1.145,1.207,1.289,1.736,1.204,1.376,1.368,1.597,1.162,1.294,1.537,1.976,1.793,1.487,1.021,1.629,2.115,1.217,1.325,1.159,1.316,1.111,0.947,1.283,1.2,0.901,1.452,0.771,0.876,1.453,1.511,0.677,,,,,,,,,,,,,
MT,TSHE,H,02N,A,02N-A,MT-TSHE-H-02N-A,,,2013,0,0,0,0,0,102,RINGWIDTH,1,NotAFile,2/7/14 10:05,                   ,,4745 11854 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3694.0000 7502.0000 3476.0000 486.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,148.5397,1.543,1.879,2.259,2.344,1.67,1.502,2.687,2.813,2.366,2.445,2.007,1.586,1.691,1.987,1.734,1.987,1.311,1.307,1.513,2.276,1.753,1.583,1.287,1.351,1.331,0.999,1.22,0.793,0.938,0.844,0.698,0.918,0.656,0.775,1.143,0.973,1.058,0.867,0.783,1.037,0.931,0.909,0.803,1.142,0.711,0.936,0.973,0.867,1.545,1.185,0.973,1.185,0.899,1.479,1.86,1.566,0.635,1.311,0.866,1.048,0.655,1.305,1.094,1.052,0.926,0.885,0.633,0.74,0.592,0.889,0.74,0.738,0.589,0.883,0.993,1.862,0.815,0.929,1.031,0.828,1.153,2.063,0.928,0.486,0.719,1.01,0.875,1.66,0.858,0.95,0.546,0.926,0.651,0.836,0.756,1.322,1.297,1.652,2.084,2.782,2.206,3.394,,
MT,TSHE,H,03C,A,03C-A,MT-TSHE-H-03C-A,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,2/7/14 10:20,                   ,,1713 12169 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],837.0000 5133.0000 900.0000 150.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,105.4557,1.046,0.823,1.056,0.983,1.244,1.316,1.529,1.62,0.989,0.654,0.992,0.76,0.76,0.845,0.909,1.67,1.035,1.246,0.973,1.777,1.502,1.714,1.185,1.037,0.444,1.227,0.889,1.079,0.868,1.143,1.291,0.973,1.439,1.143,1.058,1.037,1.227,1.248,0.93,0.801,0.8,0.652,0.732,0.995,1.526,0.887,0.939,1.094,0.958,1.231,1.329,0.645,0.673,0.917,0.856,0.79,1.264,0.741,1.016,0.806,0.861,0.701,1.098,0.731,0.79,0.552,0.654,0.491,0.654,0.729,0.869,0.733,0.725,0.63,0.699,0.701,1.041,1.205,0.683,0.865,1.058,1.091,0.818,1.101,1.092,1.412,1.129,0.78,0.823,1.084,0.076,,,,,,,,,,,,,
MT,TSHE,H,03C,B,03C-B,MT-TSHE-H-03C-B,,,2013,0,0,0,0,0,90,RINGWIDTH,1,NotAFile,2/7/14 10:20,                   ,,1713 12169 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],838.0000 5254.0000 727.0000 11762.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,137.7384,0.968,0.957,1.18,1.083,1.35,1.042,1.799,2.581,1.918,1.214,1.325,1.15,1.482,1.599,1.339,1.798,1.438,1.399,1.222,1.726,1.3,3.534,1.587,1.036,1.83,1.585,1.057,0.814,1.058,1.105,0.961,1.119,0.73,1.024,1.192,1.379,1.421,0.761,0.647,1.056,1.045,0.84,1.138,1.281,0.77,1.204,1.416,1.621,1.758,1.603,0.985,1.085,1.29,1.565,1.481,1.967,1.369,1.651,1.36,1.904,2.052,2.512,1.971,2.158,1.777,1.396,0.995,1.079,1.078,1.268,1.267,1.222,1.009,0.967,1.219,1.994,1.838,0.77,1.631,1.387,1.362,0.998,1.208,1.105,1.392,1.167,0.891,1.078,1.42,0.678,,,,,,,,,,,,,,
