Elev,TSHE,TSHE_rd,TSHE_ld,THPL,THPL_rd,THPL_ld,PSME,PSME_rd,PSME_ld,ABLA,ABLA_rd,ABLA_ld,ABGR,ABGR_rd,ABGR_ld,ABAM,ABAM_rd,ABAM_ld,ACMA,ACMA_rd,ACMA_ld
200,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0
200,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
200,5,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
250,3,0,0,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,2,0,0
250,5,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1,0,0,3,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
300,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
350,5,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,2,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
550,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0
850,4,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,2,0,0
900,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0
