Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1C,A,1C-A,WA-ABLA-L-1C-A,,,2013,0,0,0,0,0,92,RINGWIDTH,1,WA-ABLA-L-1C-BOTH.tif,5/6/14 13:11,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],264.0000 10196.0000 412.0000 432.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,153.887,0.484,0.847,0.58,0.666,0.521,0.699,0.491,0.54,0.318,0.365,0.459,0.742,0.618,0.603,0.714,0.903,0.698,0.966,0.936,0.857,0.935,1.033,0.81,0.872,0.603,0.774,0.919,1.032,0.858,0.968,0.646,0.714,0.635,0.428,0.587,0.492,0.647,0.617,0.695,0.605,0.872,0.816,0.542,0.743,0.92,0.95,1.375,0.978,1.041,0.843,0.628,0.948,0.936,0.97,0.802,1.218,0.975,1.325,1.522,1.529,1.423,2.07,2.007,1.761,2.066,1.748,1.104,0.888,1.484,2.054,1.6,2.043,1.276,1.328,1.467,1.525,1.111,1.239,1.365,1.096,1.557,1.57,1.365,1.881,1.86,1.823,1.4,3.155,2.435,4.907,5.653,21.567,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1C,A,1C-A,WA-ABLA-L-1C-A,,,2013,0,0,0,0,0,96,RINGWIDTH,1,NotAFile,5/6/14 13:47,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],261.0000 13028.0000 421.0000 659.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,190.778,0.485,0.893,0.561,0.48,0.71,0.73,0.492,0.539,0.302,0.381,0.461,0.745,0.626,0.628,0.675,0.944,0.666,0.929,0.959,0.842,0.966,1.008,0.817,0.91,0.588,0.8,0.894,1.372,0.843,0.976,0.619,0.754,0.642,0.388,0.601,0.468,0.624,0.649,0.726,0.602,0.865,0.802,0.531,0.729,0.933,0.938,1.387,0.988,0.983,0.857,0.612,0.923,0.914,0.974,0.787,1.224,0.944,1.348,1.485,1.511,1.434,2.041,1.908,1.733,1.97,1.834,1.133,0.881,1.481,1.968,1.694,1.959,1.287,1.273,1.471,1.544,1.152,1.23,1.363,1.111,1.524,1.528,1.373,1.846,1.859,1.812,1.311,3.026,2.405,11.682,2.987,1.864,3.363,3.743,49.878,3.083,,,,,,,,,,,,,,,
WA,ABLA,L,1C,B,1C-B,WA-ABLA-L-1C-B,,,2013,0,0,0,0,0,99,RINGWIDTH,1,NotAFile,5/6/14 13:47,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2101.0000 9595.5000 2151.0000 3747.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,92.8173,0.154,0.254,0.175,0.195,0.262,0.285,0.222,0.384,0.29,0.111,0.269,0.421,0.23,0.309,0.42,0.404,0.405,0.693,0.524,0.476,0.413,0.413,0.571,0.56,0.388,0.305,0.365,0.441,0.701,0.603,0.164,0.142,0.167,0.078,0.278,0.452,0.545,0.525,0.459,0.461,0.344,0.616,0.539,0.674,0.408,0.381,0.713,0.538,0.662,0.667,0.458,0.314,0.508,0.548,0.48,0.97,0.818,1.007,1.114,1.262,0.883,0.983,0.721,0.972,1.331,0.954,0.647,0.551,0.6,0.51,0.406,0.897,0.416,0.64,0.681,0.761,0.651,0.8,1.087,1.093,1.066,0.926,1.174,1.783,1.839,1.926,1.629,2.187,1.982,1.732,1.255,1.267,1.094,1.865,1.833,2.533,2.357,2.006,5.284,,,,,,,,,,,,
WA,ABLA,L,1N,A,1N-A,WA-ABLA-L-1N-A,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,5/6/14 14:09,                   ,,2809 14545 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],470.0000 9530.0000 470.0000 570.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.2047,0.27,0.566,0.318,0.323,0.365,0.413,0.413,0.905,1.111,0.968,0.54,0.767,1.106,1.497,1.55,3.031,2.328,1.798,1.535,2.206,2.36,1.426,0.935,1.841,0.879,1.079,1.483,0.94,0.729,0.91,0.545,0.634,1.394,1.408,0.886,0.679,0.852,0.938,0.642,0.657,0.795,0.465,0.591,0.699,0.699,0.661,1.306,1.425,1.865,1.477,1.01,0.979,1.321,1.399,1.022,1.836,1.706,0.835,1.495,1.552,0.937,1.543,1.567,1.584,1.368,1.258,1.179,1.523,1.327,1.885,2.055,1.701,1.434,1.862,2.273,2.295,1.564,1.836,2.769,2.844,2.359,3.624,2.275,2.729,2.763,3.466,2.284,3.663,2.772,1.624,1.196,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1N,B,1N-B,WA-ABLA-L-1N-B,,,2013,0,0,0,0,0,75,RINGWIDTH,1,NotAFile,5/6/14 14:09,                   ,,2809 14545 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2468.0000 14334.0000 2363.3333 6419.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,125.6197,0.301,0.513,0.273,0.254,0.473,0.436,0.478,0.758,0.79,1.133,0.679,1.256,1.596,1.546,1.378,1.867,1.078,0.709,0.539,0.581,0.728,1.029,0.918,1.502,1.224,1.825,2.301,1.886,1.857,2.336,2.08,1.126,1.992,1.937,1.227,1.18,2.524,3.07,2.41,1.629,2.434,1.905,1.853,2.429,3.825,3.041,3.497,3.085,1.979,2.236,2.071,1.449,1.622,1.804,1.297,2.165,2.731,1.113,2.154,0.87,1.628,1.927,2.023,1.9,1.328,1.304,1.043,1.504,1.331,1.58,1.48,2.433,2.439,2.466,3.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,2C,A,2C-A,WA-ABLA-L-2C-A,,,2013,0,0,0,0,0,93,RINGWIDTH,1,NotAFile,5/6/14 14:26,                   ,,2651 11867 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],550.0000 11686.0000 386.0000 1128.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,167.5867,0.581,0.645,0.773,0.475,0.565,0.808,0.612,0.848,0.622,0.531,0.518,0.745,0.706,0.903,0.757,0.819,0.863,0.645,0.672,0.784,0.731,0.74,0.631,0.943,0.854,0.865,0.927,0.764,1.017,1.309,0.881,0.923,1.216,1.266,0.978,0.811,0.861,0.824,0.553,0.557,0.532,0.542,0.52,0.538,0.669,0.737,1.101,1.142,1.765,1.289,1.334,1.053,1.099,1.18,0.979,1.231,1.943,1.503,1.774,1.429,1.125,1.303,1.307,1.528,1.182,1.77,1.578,1.367,1.111,2.293,1.757,1.914,1.985,2.273,2.836,2.303,3.499,3.228,2.432,1.969,2.145,2.081,2.732,3.045,2.778,2.838,3.138,3.142,3.379,3.636,3.259,4.764,1.622,,,,,,,,,,,,,,,,,,
WA,ABLA,L,2C,B,2C-B,WA-ABLA-L-2C-B,,,2013,0,0,0,0,0,69,RINGWIDTH,1,NotAFile,5/6/14 14:26,                   ,,2651 11867 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2433.6667 11236.3333 2346.0000 6596.3333  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,73.6548,0.752,1.083,1.075,0.713,0.952,1.095,0.841,1.238,0.873,0.746,0.761,0.968,1.063,1.127,0.762,0.857,0.746,0.587,0.619,0.714,0.698,0.793,0.65,0.887,0.746,0.793,0.857,0.666,0.873,0.998,0.618,0.65,0.839,0.792,0.711,0.663,0.981,1.029,0.884,0.959,1.084,1.12,1.233,1.187,1.52,1.425,2.026,1.795,1.216,1.092,0.98,0.855,1.154,1.168,0.933,1.707,1.599,1.425,1.841,1.504,1.325,1.564,1.553,1.425,1.265,1.868,1.427,1.585,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,2N,A,2N-A,WA-ABLA-L-2N-A,,,2013,0,0,0,0,0,100,RINGWIDTH,1,NotAFile,5/6/14 14:34,                   ,,2599 11683 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],239.3333 11629.3333 36.6667 1449.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,161.5939,0.571,1.221,0.873,0.794,0.73,0.889,0.587,0.778,0.696,0.933,0.869,1.041,1.171,1.268,1.505,1.345,0.111,1.284,1.603,1.603,1.873,2.016,0.27,1.523,1.539,1.886,1.31,0.726,0.758,1.484,1.418,1.079,1.142,0.98,0.363,1.61,0.977,0.362,1.04,1.405,0.253,0.823,1.282,1.156,0.855,1.221,0.254,1.174,1.11,1.412,1.285,1.031,2.126,1.571,0.063,0.206,1.268,1.929,2.017,1.845,1.926,1.61,1.906,1.855,2.386,0.172,1.731,2.129,1.733,2.096,2.29,2.911,2.768,2.302,3.229,2.596,2.49,2.76,2.69,2.309,2.467,2.609,2.846,2.516,2.704,3.241,3.357,3.473,3.41,2.909,4.239,0.258,2.775,3.691,1.406,2.097,0.485,0.401,0.146,0.208,,,,,,,,,,,
WA,ABLA,L,2N,A,2N-A,WA-ABLA-L-2N-A,,,2013,0,0,0,0,0,95,RINGWIDTH,1,NotAFile,5/6/14 14:49,                   ,,3045 11683 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],435.0000 11613.0000 246.0000 1442.3333  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,161.4469,0.43,0.587,0.428,0.317,0.413,0.508,0.386,0.677,0.571,0.619,0.586,0.874,0.793,0.746,0.888,0.603,0.761,0.697,0.935,0.856,1.052,1.181,1.246,1.483,1.379,1.363,1.592,1.626,1.872,2.02,1.771,1.544,1.905,1.294,0.744,0.743,1.485,1.436,1.064,1.156,1.323,1.61,1.339,1.056,1.388,1.071,1.269,1.175,0.872,1.206,1.428,1.126,1.396,1.285,1.031,2.126,1.854,1.267,1.918,2.012,1.855,1.902,1.605,1.938,1.819,2.394,1.949,2.116,1.727,2.089,2.29,2.934,2.763,2.311,3.216,2.59,2.48,2.712,2.71,2.3,2.467,2.613,2.857,2.493,2.714,3.219,3.376,3.466,3.443,2.884,4.267,2.976,3.671,3.397,0.844,,,,,,,,,,,,,,,,
WA,ABLA,L,2N,B,2N-B,WA-ABLA-L-2N-B,,,2013,0,0,0,0,0,59,RINGWIDTH,1,NotAFile,5/6/14 14:49,                   ,,3045 11683 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2400.0000 11489.0000 2226.6667 6637.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,77.0552,0.267,0.362,0.3,0.363,0.538,0.395,0.348,0.681,0.508,0.476,0.564,1.039,1.333,1.919,2.223,1.761,1.565,1.364,2.056,1.085,1.462,2.465,2.454,3.056,1.897,1.665,1.913,1.924,1.999,2.285,1.507,1.354,1.654,1.089,0.931,0.852,0.997,0.902,0.716,1.136,1.077,1.079,0.977,0.703,0.698,0.619,0.619,0.635,1.285,1.809,1.745,1.347,1.695,1.33,1.108,2.311,2.124,1.443,2.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
