Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,01C,A,01C-A,WA-TSHE-M-1C-A,,,2013,0,0,0,0,0,100,RINGWIDTH,1,NotAFile,3/4/14 12:38,                   ,,3386 12878 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],536.0000 12488.0000 368.0000 160.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,260.9019,0.86,1.328,1.181,0.907,0.675,0.506,0.316,1.135,0.848,0.308,0.818,1.234,1.422,0.606,0.627,2.805,2.532,2.135,1.883,2.556,1.96,2.821,2.007,2.137,1.164,1.545,1.587,1.924,1.478,2.067,2.386,2.537,3.119,2.11,1.299,1.742,1.68,2.137,2.591,4.057,3.319,3.634,3.631,3.086,3,2.643,2.512,2.856,2.407,2.134,3.721,3.806,3.68,2.474,2.113,2.082,3.456,3.65,4.883,4.346,5.058,4.665,2.719,2.466,3.04,3.931,3.494,4.119,3.172,2.136,2.412,3.575,3.258,2.22,1.986,2.066,2.776,3.933,2.668,4.406,3.441,2.811,2.203,2.484,2.725,2.725,2.149,2.399,3.196,3.443,5.93,4.031,4.458,3.152,3.088,2.915,1.712,1.659,2.145,0.701,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,01C,B,01C-B,WA-TSHE-M-1C-B,,,2013,0,0,0,0,0,56,RINGWIDTH,1,NotAFile,3/4/14 12:38,                   ,,3386 12878 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2608.0000 11290.5000 2558.0000 589.5000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,226.4507,2.198,5,4.939,4.263,3.581,2.692,1.312,1.243,2.296,0.573,0.632,1.229,1.036,0.568,0.475,2.401,3.11,2.955,1.883,1.756,2.092,4.274,3.357,3.731,2.299,1.587,1.71,2.433,1.959,2.865,3.247,3.396,5.33,4.302,4.275,4.852,4.782,6.175,3.844,4.828,5.789,7.25,7.174,6.371,6.284,5.124,5.523,6.218,6.643,5.872,4.377,4.326,4.58,5.085,3.584,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,01N,A,01N-A,WA-TSHE-M-1N-A,,,2013,0,0,0,0,0,53,RINGWIDTH,1,NotAFile,3/4/14 13:07,                   ,,3386 9432 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],744.0000 9232.0000 552.0000 212.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,190.9189,2.02,3.28,2.943,4.523,4.247,5.927,3.564,4.981,6.281,3.558,5.14,5.507,3.498,1.999,1.54,2.486,3.141,2.628,3.503,2.941,3.109,4.688,2.693,2.843,2.498,1.958,2.477,1.3,3.23,4.879,5.341,3.756,4.476,3.909,2.016,4.009,2.42,2.731,2.172,3.023,2.151,3.06,3.207,3.566,2.358,2.547,2.348,3.102,2.851,3.401,3.83,3.158,5.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2N,A,2N-A,WA-TSHE-M-2N-A,,,2013,0,0,0,0,0,83,RINGWIDTH,1,NotAFile,3/4/14 14:25,                   ,,2146 9215 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],222.0000 8085.0000 474.0000 414.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,162.4162,1.438,1.375,1.292,1.564,1.164,1.142,0.781,1.225,1.288,1.123,1.009,1.185,1.291,1.671,1.438,1.079,0.952,1.31,1.522,1.558,1.978,1.533,1.857,1.354,1.206,2.009,1.984,2.092,2.467,2.873,2.455,2.56,3.216,2.196,1.562,1.813,1.291,1.891,1.839,2.379,2.338,1.858,1.747,2.517,2.349,3.776,3.39,2.705,0.738,0.576,0.891,1.273,1.484,1.157,0.756,0.731,0.617,0.589,0.778,0.715,0.949,1.113,0.749,0.877,0.515,0.962,0.923,0.926,1.099,1.278,1.191,1.454,1.557,2.048,2.686,2.089,2.56,2.234,1.741,2.928,3.867,3.419,1.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2N,B,2N-B,WA-TSHE-M-2N-B,,,2013,0,0,0,0,0,79,RINGWIDTH,1,NotAFile,3/4/14 14:25,                   ,,2146 9215 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1698.0000 9138.0000 1984.0000 514.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.5957,1.606,2.076,1.885,1.512,1.84,1.479,1.333,1.142,0.879,0.854,1.248,1.627,1.965,2.365,3.268,4.455,4.192,4.569,4.333,5.454,5.268,4.105,2.772,2.116,2.307,2.03,2.232,2.462,2.67,2.661,2.869,3.473,1.898,1.444,1.851,1.972,2.072,2.582,3.322,3.473,4.081,3.844,4.217,4.154,5.364,5.489,4.872,4.131,1.795,0.962,0.967,0.863,0.926,0.842,0.821,1.267,1.378,1.363,0.843,0.718,0.887,0.887,0.929,1.055,1.586,1.1,0.864,0.97,1.036,0.825,1.184,1.032,1.542,1.943,1.849,2.777,3.322,2.071,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2C,A,2C-A,WA-TSHE-M-2C-A,,,2013,0,0,0,0,0,65,RINGWIDTH,1,NotAFile,3/4/14 14:40,                   ,,2225 11814 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],525.0000 11760.0000 189.0000 3234.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,179.5029,1.409,2.857,2.791,0.861,1.355,1.013,1.603,2.029,2.803,2.809,3.188,2.988,3.68,3,3.114,2.142,2.175,2.157,1.666,1.332,1.098,1.327,1.581,1.277,1.849,1.982,2.328,3.153,3.745,3.617,2.925,3.588,2.822,3.105,2.537,2.92,3.659,2.248,2.183,2.534,3.219,3.295,3.304,3.87,2.908,3.175,2.9,3.474,3.27,4.811,5.139,1.831,3.103,2.712,3.05,2.706,3.631,3.302,3.173,2.838,1.926,1.731,2.525,3.02,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2C,B,2C-B,WA-TSHE-M-2C-B,,,2013,0,0,0,0,0,80,RINGWIDTH,1,NotAFile,3/4/14 14:40,                   ,,2225 11814 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1845.0000 9102.0000 1524.0000 87.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.1972,1.347,1.137,0.891,1.551,1.297,2.412,2.6,1.912,1.74,2.667,3.058,2.326,2.061,1.967,1.882,2.251,2.532,2.347,2.222,2.01,1.439,1.841,1.493,1.874,2.104,1.832,2.077,2.331,2.374,2.064,2.546,1.95,2.33,2.527,2.087,2.962,2.222,1.969,2.274,4.512,2.073,1.611,1.654,1.538,1.645,1.899,1.606,1.763,1.462,1.395,1.481,1.206,1.882,2.206,1.953,2.327,1.93,1.294,1.527,1.867,1.772,1.4,1.353,1.476,1.299,1.113,2.199,1.947,2.274,1.817,1.757,3.181,3.117,2.393,3.08,2.125,2.037,0.576,3.348,3.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3C,A,3C-A,WA-TSHE-M-3C-A,,,2013,0,0,0,0,0,76,RINGWIDTH,1,NotAFile,3/4/14 15:00,                   ,,1929 9195 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],312.0000 9020.0000 136.0000 196.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,186.7652,2.851,2.031,1.925,3.122,4.181,4.27,3.957,2.934,1.383,1.883,2.071,3.256,1.979,1.435,2.142,3.164,3.293,2.76,2.208,2.552,4.789,4.881,2.235,1.875,2.044,1.833,1.71,1.967,2.437,2.783,2.337,3.884,3.008,2.08,2.367,2.894,3.058,2.357,2.26,2.337,2.6,2.239,2.109,1.541,1.654,1.546,2.017,2.244,2.47,2.686,2.873,2.645,1.686,1.55,2.345,1.926,1.56,2.745,2.602,2.766,2.009,1.896,2.111,2.07,2.607,2.135,2.064,1.903,2.09,1.371,2.178,2.391,1.824,2.351,1.726,1.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3C,B,3C-B,WA-TSHE-M-3C-B,,,2013,0,0,0,0,0,79,RINGWIDTH,1,NotAFile,3/4/14 15:00,                   ,,1929 9195 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1764.0000 8120.0000 1598.0000 1768.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,134.4629,1.885,1.957,1.88,1.372,1.143,1.778,0.906,1.488,2.057,1.84,1.672,2.062,2.429,2.176,1.556,1.417,2.061,2.089,1.805,2.013,1.336,1.441,1.729,1.813,1.886,1.347,1.652,1.251,1.264,1.186,1.634,1.795,1.587,1.724,1.206,1.385,1.61,0.953,1.316,1.013,1.201,1.622,2.109,1.875,1.667,1.942,1.637,1.673,1.625,1.733,2.354,2.34,2.2,2.074,2.084,1.719,1.724,2.05,1.046,2.242,0.829,1.376,2.606,2.289,1.873,2.096,0.798,1.326,2.536,1.812,1.458,1.435,1.502,1.481,1.926,2.116,1.777,1.333,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3N,A,3N-A,WA-TSHE-M-3N-A,,,2013,0,0,0,0,0,93,RINGWIDTH,1,NotAFile,3/4/14 15:14,                   ,,2087 10141 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],441.0000 9444.0000 231.0000 249.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,194.6296,2.621,3.23,3.8,3.045,3.727,2.104,1.779,1.647,1.384,0.814,0.731,1.024,1.328,1.575,1.914,2.331,2.672,2.023,2.755,2.857,2.061,1.724,1.151,1.192,1.049,1.014,1.083,0.982,1.226,1.544,0.86,0.462,1.73,2.336,1.385,1.396,1.037,1.799,1.121,1.521,0.97,1.18,1.909,1.888,1.414,1.663,1.7,2.165,1.643,2.198,2.191,2.481,2.347,2.603,2.388,1.712,1.564,1.012,1.312,1.12,1.311,1.036,1.142,1.543,1.099,1.565,1.161,1.623,1.851,1.554,1.092,1.323,1.801,1.385,0.625,1.483,1.882,2.174,2.02,2.223,1.849,1.23,0.743,2.112,4.038,3.243,2.779,5.096,3.979,3.944,3.86,5.366,5.108,,,,,,,,,,,,,,,,,,,,,,,,,,
