State,SpeciesBand,lat,lon,el
CO,ABLA-H,37.466342,108.0884705,3517.2
CO,ABLA-L,37.482501,108.16255,3086.933333
CO,ABLA-M,37.48283033,108.1298517,3290.733333
CO,PIPO-H,37.47318208,108.2354838,2682.333333
CO,PIPO-L,37.4043895,108.317146,2279.55
CO,PIPO-M,37.43379785,108.2803725,2467.75
CO,POTR-H,37.48020733,108.1615,3085.2
CO,POTR-L,37.48121143,108.2378896,2692.571429
CO,POTR-M,37.48611467,108.1943417,2875.5
MT,ABLA-H,48.62693292,113.8348029,2219.333333
MT,ABLA-L,48.61701154,113.8475458,1607
MT,ABLA-M,48.64708583,113.8414296,1906.416667
MT,PSME-H,48.663195,113.8473723,1610.423077
MT,PSME-L,48.61414731,113.8547623,1323
MT,PSME-M,48.61493462,113.8490454,1445.576923
MT,TSHE-H,48.61486923,113.8560431,1298.884615
MT,TSHE-L,48.63042115,113.8696192,1025.115385
MT,TSHE-M,48.61403846,113.865906,1164.115385
WA,ABLA-H,48.0001405,123.561081,1506.4
WA,ABLA-L,48.0015815,123.5706935,1249.9
WA,ABLA-M,48.0006915,123.5659295,1392.65
WA,PSME-H,47.99987636,123.5694977,1298.090909
WA,PSME-L,48.00772273,123.5857409,394.1818182
WA,PSME-M,47.99710909,123.581635,857.1818182
WA,TSHE-H,48.0064525,123.5627521,550.1666667
WA,TSHE-M,48.013935,123.5880659,221.3636364
