"State","SpeciesBand","Latitude","Longitude","Elevation","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12"
"CO","ABLA-H",37.466342,108.08847,3517.2,.7,2.3,4.5,7.5,10.6,16,18.2,17.7,14.4,10.2,3.6,1.2,-15.3,-14,-12.3,-8.9,-5.2,-2.1,.4,1.2,-1.7,-5.3,-11.2,-14.6,-7.3,-5.9,-3.9,-.7,2.7,7,9.3,9.5,6.4,2.5,-3.8,-6.7,81,79,110,90,59,40,81,103,81,86,70,92
"CO","ABLA-L",37.482501,108.16255,3086.933333,2.2,4.2,6.4,9.9,13.9,19.3,21.4,20.8,17.5,12.9,5.7,2.5,-14.8,-13.2,-10.7,-7.1,-3.4,-.7,2.2,2.9,-.3,-4.1,-10.1,-14.1,-6.3,-4.5,-2.1,1.4,5.2,9.3,11.8,11.9,8.6,4.4,-2.2,-5.8,63,57,90,69,50,26,69,85,67,65,58,62
"CO","ABLA-M",37.48283,108.129852,3290.733333,1.7,3.5,5.6,9,12.6,17.9,20,19.4,16.3,11.9,4.9,2.1,-15.6,-14.1,-11.8,-8.2,-4.7,-2.2,.6,1.5,-1.5,-5.2,-11.1,-14.9,-6.9,-5.3,-3.1,.4,3.9,7.8,10.3,10.5,7.4,3.3,-3.1,-6.4,68,62,99,79,54,28,72,92,72,68,62,66
"CO","PIPO-H",37.473182,108.235484,2682.333333,2.4,4.7,7.4,11.1,16,21.8,24.2,23.3,19.6,14.3,6.8,2.8,-12.7,-10.8,-7.9,-4.5,-.4,3,6.3,6.4,2.6,-1.5,-7.7,-12,-5.2,-3.1,-.2,3.3,7.8,12.4,15.3,14.8,11.1,6.4,-.5,-4.6,50,46,67,48,39,22,57,69,57,58,52,51
"CO","PIPO-L",37.40439,108.317146,2279.55,2.7,5.1,8.2,13.3,19,25.3,28.1,26.5,22.3,16.5,8.4,3.5,-11.2,-8.8,-5.6,-1.9,2.8,7.2,11.1,10.2,6.2,1.2,-5.1,-9.8,-4.3,-1.8,1.3,5.7,10.9,16.3,19.6,18.3,14.3,8.8,1.6,-3.2,36,34,51,33,33,17,46,54,44,48,45,39
"CO","PIPO-M",37.433798,108.280372,2467.75,2.3,4.7,7.6,12.2,17.6,23.7,26.3,25,21,15.4,7.5,3,-11.9,-9.7,-6.5,-3,1.4,5.4,9.1,8.6,4.7,0,-6.3,-10.7,-4.8,-2.5,.6,4.6,9.5,14.6,17.7,16.8,12.8,7.7,.6,-3.9,41,39,56,38,35,19,50,59,49,53,50,45
"CO","POTR-H",37.480207,108.1615,3085.2,2.2,4.1,6.4,9.8,13.8,19.2,21.3,20.7,17.4,12.8,5.7,2.5,-14.8,-13.2,-10.7,-7.1,-3.5,-.8,2.1,2.9,-.4,-4.1,-10.1,-14.2,-6.3,-4.6,-2.2,1.4,5.2,9.2,11.7,11.8,8.5,4.3,-2.2,-5.8,62,57,89,69,50,26,69,85,67,65,58,61
"CO","POTR-L",37.481211,108.23789,2692.571429,2.4,4.7,7.4,11.1,15.9,21.7,24.2,23.2,19.5,14.3,6.7,2.9,-12.7,-10.8,-7.9,-4.5,-.4,3,6.2,6.3,2.6,-1.5,-7.8,-12,-5.2,-3.1,-.3,3.3,7.8,12.3,15.2,14.8,11,6.4,-.5,-4.6,50,46,69,49,40,22,58,70,57,58,52,51
"CO","POTR-M",37.486115,108.194342,2875.5,2.4,4.6,7,10.6,14.9,20.5,22.8,22,18.6,13.7,6.3,2.8,-13.8,-12.1,-9.4,-5.9,-2,1,4,4.5,1,-2.9,-9,-13.2,-5.7,-3.8,-1.2,2.4,6.5,10.8,13.4,13.3,9.8,5.4,-1.3,-5.2,57,52,80,60,46,24,64,78,63,62,55,57
"MT","ABLA-H",48.626933,113.834803,2219.333333,-4.6,-1.9,.6,4.8,10.3,15.4,19.6,19.4,13.6,7.8,-.4,-4.1,-13.2,-10.4,-9.1,-4.8,-.9,3.1,5.4,5.2,1.4,-2.4,-7.4,-11.5,-8.9,-6.2,-4.2,0,4.7,9.2,12.5,12.3,7.5,2.7,-3.9,-7.8,192,154,136,119,136,113,73,64,72,81,173,186
