State,SpeciesBand,Species,Band,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at
CO,ABLA-H,ABLA,H,37.466342,108.08847,3517.2,1.4,7.5,17.3,9.4,-14.6,-8.8,-0.1,-6.1,-6.6,-0.6,8.6,1.7,252,259,224,236,651,245,2,177,3,37,346,99,2210,1715,864,1487,0,0,1,1,1,3,39,13,220,212,0,86,0,89,356,131,0,30,133,0
CO,ABLA-L,ABLA,L,37.482501,108.16255,3086.933333,3,10.1,20.5,12.1,-14,-7.1,1.5,-4.8,-5.5,1.5,11,3.6,182,210,180,191,564,153,1,120,4,76,553,172,2115,1520,643,1310,0,0,3,1,1,6,58,19,147,132,0,45,0,179,406,150,0,59,226,24
CO,ABLA-M,ABLA,M,37.48283,108.129852,3290.733333,2.5,9.1,19.1,11,-14.9,-8.2,0,-5.9,-6.2,0.4,9.6,2.6,195,233,192,201,620,196,1,149,3,53,426,129,2175,1620,774,1405,0,0,1,1,0,4,41,14,166,171,0,60,0,170,387,143,0,45,195,15
CO,PIPO-H,PIPO,H,37.473182,108.235484,2682.333333,3.3,11.5,23.1,13.6,-11.8,-4.2,5.2,-2.2,-4.3,3.6,14.2,5.7,146,154,148,166,462,92,0,76,7,146,845,280,2002,1324,368,1120,0,1,19,4,1,18,84,34,103,61,0,24,0,192,437,159,0,105,289,45
CO,PIPO-L,PIPO,L,37.40439,108.317146,2279.55,3.7,13.5,26.6,15.7,-9.9,-1.6,9.5,0.7,-3.1,6,18.1,8.2,109,116,117,138,373,55,0,41,10,269,1202,433,1897,1109,125,898,0,3,133,12,3,35,91,50,63,23,0,11,0,269,481,206,0,153,363,81
CO,PIPO-M,PIPO,M,37.433798,108.280372,2467.75,3.3,12.5,25,14.6,-10.8,-2.7,7.7,-0.5,-3.7,4.9,16.3,7,125,128,128,151,419,70,0,56,8,209,1046,357,1952,1209,210,1003,0,2,61,7,2,27,90,43,81,36,0,16,0,257,460,198,0,131,332,64
CO,POTR-H,POTR,H,37.480207,108.1615,3085.2,2.9,10,20.4,12,-14.1,-7.1,1.4,-4.9,-5.6,1.4,10.9,3.6,181,208,179,190,568,155,1,121,4,74,547,170,2119,1525,648,1314,0,0,3,1,1,6,58,18,146,132,0,45,0,179,405,150,0,60,226,24
CO,POTR-L,POTR,L,37.481211,108.23789,2692.571429,3.3,11.5,23,13.5,-11.9,-4.3,5.1,-2.2,-4.3,3.6,14.1,5.6,148,158,149,167,463,92,0,77,7,144,838,278,2002,1327,374,1123,0,1,19,3,1,17,84,34,104,62,0,25,0,192,437,159,0,103,287,44
CO,POTR-M,POTR,M,37.486115,108.194342,2875.5,3.3,10.9,21.8,12.9,-13,-5.7,3.2,-3.6,-4.9,2.6,12.5,4.6,166,185,166,179,512,119,0,97,5,106,692,221,2057,1423,514,1218,0,0,8,2,1,11,73,25,126,95,0,33,0,186,423,155,0,81,257,32
MT,ABLA-H,ABLA,H,48.626933,113.834803,2219.333333,-3.5,5.2,18.1,7,-11.7,-4.9,4.5,-2.8,-7.6,0.1,11.3,2.1,532,391,250,325,729,230,1,175,2,59,588,124,2302,1644,612,1446,0,0,4,1,1,15,83,28,487,268,0,152,0,73,312,85,0,0,78,0
