State,SpeciesBand,Species,Band,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD
CO,ABLA-H,ABLA,H,37.466342,108.08847,3517.2,0.8,9.5,-7.3,16.7,972,364,11.1,26,1075,485,6276,1,56,196,222,26,518,-44.1,30,576,163
CO,ABLA-L,ABLA,L,37.482501,108.16255,3086.933333,2.6,11.9,-6.3,18.1,762,298,16.6,39.8,838,804,5587,5,84,193,232,39,323,-43.3,32.6,736,309
CO,ABLA-M,ABLA,M,37.48283,108.129852,3290.733333,1.6,10.5,-6.9,17.4,821,318,14.1,32.9,967,611,5973,2,59,196,224,28,397,-44.6,31.5,700,255
CO,PIPO-H,PIPO,H,37.473182,108.235484,2682.333333,4.8,15.3,-5.2,20.4,614,243,24.1,62.7,630,1278,4813,24,137,174,252,78,188,-39.8,34.5,789,440
CO,PIPO-L,PIPO,L,37.40439,108.317146,2279.55,7.3,19.6,-4.3,23.8,480,194,36,100.7,469,1914,4029,149,178,150,272,122,97,-36.3,36.7,956,597
CO,PIPO-M,PIPO,M,37.433798,108.280372,2467.75,6.1,17.7,-4.8,22.5,533,211,30.3,83.8,545,1620,4374,70,162,160,264,104,134,-37.8,35.6,914,526
CO,POTR-H,POTR,H,37.480207,108.1615,3085.2,2.6,11.8,-6.3,18.1,758,297,16.6,39.8,845,795,5606,5,83,193,231,38,324,-43.4,32.6,734,309
CO,POTR-L,POTR,L,37.481211,108.23789,2692.571429,4.8,15.2,-5.2,20.3,622,246,23.7,61.6,632,1267,4827,23,136,174,252,77,192,-39.9,34.5,788,435
CO,POTR-M,POTR,M,37.486115,108.194342,2875.5,3.7,13.4,-5.7,19.1,696,274,19.7,48.8,728,1024,5211,10,110,185,241,56,254,-41.8,33.6,764,369
MT,ABLA-H,ABLA,H,48.626933,113.834803,2219.333333,1.5,12.5,-8.9,21.4,1498,457,7.7,27.3,1135,774,6005,5,128,172,243,70,906,-39.3,31.7,471,78
MT,ABLA-L,ABLA,L,48.617012,113.847546,1607,3.4,15,-8.1,23,1216,397,11,37.7,916,1123,5336,18,148,161,249,88,596,-38,34.4,601,140
MT,ABLA-M,ABLA,M,48.647086,113.84143,1906.416667,1.6,12.6,-8.7,21.3,1168,390,10,32.2,1118,791,5960,6,130,172,244,72,664,-39.3,31.7,517,98
MT,PSME-H,PSME,H,48.663195,113.847372,1610.423077,2.6,13.8,-8.3,22,1104,379,11.4,36.3,1005,964,5619,10,141,166,248,82,563,-38.9,32.9,557,122
MT,PSME-L,PSME,L,48.614147,113.854762,1323,4.2,16.1,-7.7,23.8,1079,367,13.2,43.9,825,1311,5027,33,157,155,252,97,469,-37.4,35.7,643,185
MT,PSME-M,PSME,M,48.614935,113.849045,1445.576923,4,15.8,-7.9,23.6,1179,389,11.8,40.5,855,1254,5125,27,154,157,251,94,539,-37.7,35.3,631,164
MT,TSHE-H,TSHE,H,48.614869,113.856043,1298.884615,4.3,16.1,-7.7,23.8,1059,362,13.5,44.6,822,1318,5016,33,157,155,252,97,457,-37.4,35.7,644,189
MT,TSHE-L,TSHE,L,48.630421,113.869619,1025.115385,4.6,16.6,-7.4,24,880,319,16.6,52,786,1396,4888,41,162,152,254,102,351,-37.2,36,659,242
MT,TSHE-M,TSHE,M,48.614038,113.865906,1164.115385,4.5,16.3,-7.4,23.7,892,324,16.2,50.3,799,1352,4952,37,160,154,253,99,361,-37.1,35.9,650,230
WA,ABLA-H,ABLA,H,48.00014,123.561081,1506.4,5.3,13.6,-1.1,14.7,1841,219,8.3,62.1,354,1111,4614,12,205,143,280,137,505,-25.4,32.5,554,210
WA,ABLA-L,ABLA,L,48.001582,123.570694,1249.9,6.1,14.3,-0.3,14.6,1735,204,9.3,69.8,283,1251,4332,17,221,138,284,147,357,-23.9,33.2,591,239
WA,ABLA-M,ABLA,M,48.000692,123.56593,1392.65,5.7,13.9,-0.7,14.6,1790,212,8.8,65.6,322,1170,4492,14,212,141,282,141,435,-24.8,32.8,563,224
WA,PSME-H,PSME,H,47.999876,123.569498,1298.090909,6,14.1,-0.4,14.6,1757,207,9.1,68.3,295,1225,4382,16,218,138,284,145,381,-24.2,33.1,587,234
WA,PSME-L,PSME,L,48.007723,123.585741,394.1818182,9,16.6,2.7,13.9,1559,183,12.2,90.7,117,1869,3309,57,284,108,305,198,89,-17.8,35.2,675,298
WA,PSME-M,PSME,M,47.997109,123.581635,857.1818182,7.4,15.3,0.9,14.3,1614,188,10.8,81.3,196,1497,3887,28,248,127,292,166,198,-21.4,34.2,641,274
WA,TSHE-H,TSHE,H,48.006452,123.562752,550.1666667,8.9,16.5,2.6,13.9,1789,212,10.6,78,120,1847,3344,55,284,106,306,200,107,-17.6,34.9,660,259
WA,TSHE-M,TSHE,M,48.013935,123.588066,221.3636364,9.6,17,3.2,13.8,1517,180,12.9,94.3,98,1997,3131,70,294,100,310,210,67,-16.6,35.6,686,307
